,RATE A,RATE B,RATE C,Total
02/02/2018 14.00,51.32,,,51.32
02/02/2018 14.15,53.08,,,53.08
02/02/2018 14.30,57.77,,,57.77
02/02/2018 14.45,57.92,,,57.92
02/02/2018 15.00,60.01,,,60.01
02/02/2018 15.15,56.75,,,56.75
02/02/2018 15.30,53.54,,,53.54
02/02/2018 15.45,49.84,,,49.84
02/02/2018 16.00,50.88,,,50.88
02/02/2018 16.15,49.42,,,49.42
02/02/2018 16.30,46.64,,,46.64
02/02/2018 16.45,46.3,,,46.3
02/02/2018 17.00,45.77,,,45.77
02/02/2018 17.15,47.01,,,47.01
02/02/2018 17.30,51.51,,,51.51
02/02/2018 17.45,48.92,,,48.92
02/02/2018 18.00,50.88,,,50.88
02/02/2018 18.15,52.48,,,52.48
02/02/2018 18.30,52.75,,,52.75
02/02/2018 18.45,52.37,,,52.37
02/02/2018 19.00,51.08,,,51.08
02/02/2018 19.15,50.24,,,50.24
02/02/2018 19.30,50.27,,,50.27
02/02/2018 19.45,55.21,,,55.21
02/02/2018 20.00,53.82,,,53.82
02/02/2018 20.15,52.43,,,52.43
02/02/2018 20.30,53.59,,,53.59
02/02/2018 20.45,53.37,,,53.37
02/02/2018 21.00,56.61,,,56.61
02/02/2018 21.15,58.72,,,58.72
02/02/2018 21.30,60.98,,,60.98
02/02/2018 21.45,61,,,61
02/02/2018 22.00,63.01,,,63.01
02/02/2018 22.15,,70.51,,70.51
02/02/2018 22.30,,73.29,,73.29
02/02/2018 22.45,,71.56,,71.56
02/02/2018 23.00,,76.22,,76.22
02/02/2018 23.15,,78.41,,78.41
02/02/2018 23.30,,77.88,,77.88
02/02/2018 23.45,,78.14,,78.14
02/02/2018 24.00,,80.01,,80.01
03/02/2018 00.15,,,84.69,84.69
03/02/2018 00.30,,,86.58,86.58
03/02/2018 00.45,,,90.83,90.83
03/02/2018 01.00,,,91.17,91.17
03/02/2018 01.15,,,91.53,91.53
03/02/2018 01.30,,,88.78,88.78
03/02/2018 01.45,,,85.27,85.27
03/02/2018 02.00,,,87.38,87.38
03/02/2018 02.15,,,85.77,85.77
03/02/2018 02.30,,,85.49,85.49
03/02/2018 02.45,,,81.77,81.77
03/02/2018 03.00,,,81.45,81.45
