,RATE A,RATE B,RATE C,Total
02/05/2018 14.00,63.08,,,63.08
02/05/2018 14.15,63.12,,,63.12
02/05/2018 14.30,65.9,,,65.9
02/05/2018 14.45,68.37,,,68.37
02/05/2018 15.00,69.03,,,69.03
02/05/2018 15.15,67.96,,,67.96
02/05/2018 15.30,69.54,,,69.54
02/05/2018 15.45,72.79,,,72.79
02/05/2018 16.00,77.66,,,77.66
02/05/2018 16.15,81.75,,,81.75
02/05/2018 16.30,77.64,,,77.64
02/05/2018 16.45,76.7,,,76.7
02/05/2018 17.00,75.79,,,75.79
02/05/2018 17.15,79.03,,,79.03
02/05/2018 17.30,80.93,,,80.93
02/05/2018 17.45,85.98,,,85.98
02/05/2018 18.00,84.28,,,84.28
02/05/2018 18.15,88.54,,,88.54
02/05/2018 18.30,93.57,,,93.57
02/05/2018 18.45,95.4,,,95.4
02/05/2018 19.00,95.49,,,95.49
02/05/2018 19.15,95.33,,,95.33
02/05/2018 19.30,97.8,,,97.8
02/05/2018 19.45,98.27,,,98.27
02/05/2018 20.00,101.14,,,101.14
02/05/2018 20.15,102.2,,,102.2
02/05/2018 20.30,105.69,,,105.69
02/05/2018 20.45,111.04,,,111.04
02/05/2018 21.00,110.9,,,110.9
02/05/2018 21.15,116.4,,,116.4
02/05/2018 21.30,120.8,,,120.8
02/05/2018 21.45,121.62,,,121.62
02/05/2018 22.00,125.15,,,125.15
02/05/2018 22.15,,131.09,,131.09
02/05/2018 22.30,,140.01,,140.01
02/05/2018 22.45,,139.01,,139.01
02/05/2018 23.00,,142.75,,142.75
02/05/2018 23.15,,142.22,,142.22
02/05/2018 23.30,,148.65,,148.65
02/05/2018 23.45,,153.15,,153.15
02/05/2018 24.00,,159.76,,159.76
03/05/2018 00.15,,162.25,,162.25
03/05/2018 00.30,,168.67,,168.67
03/05/2018 00.45,,165.26,,165.26
03/05/2018 01.00,,167.62,,167.62
03/05/2018 01.15,,167.88,,167.88
03/05/2018 01.30,,163.36,,163.36
03/05/2018 01.45,,158.22,,158.22
03/05/2018 02.00,,154.88,,154.88
03/05/2018 02.15,,153.67,,153.67
03/05/2018 02.30,,154.23,,154.23
03/05/2018 02.45,,148.94,,148.94
03/05/2018 03.00,,144.7,,144.7
03/05/2018 03.15,,143.62,,143.62
03/05/2018 03.30,,140.81,,140.81
03/05/2018 03.45,,138.7,,138.7
03/05/2018 04.00,,134.23,,134.23
03/05/2018 04.15,,133.65,,133.65
03/05/2018 04.30,,131.02,,131.02
03/05/2018 04.45,,130.64,,130.64
03/05/2018 05.00,,129.17,,129.17
03/05/2018 05.15,,128.33,,128.33
03/05/2018 05.30,,127.12,,127.12
03/05/2018 05.45,,125.9,,125.9
03/05/2018 06.00,,126.22,,126.22
03/05/2018 06.15,,123.15,,123.15
03/05/2018 06.30,,119.86,,119.86
03/05/2018 06.45,,119.02,,119.02
03/05/2018 07.00,,117.77,,117.77
03/05/2018 07.15,,119.91,,119.91
03/05/2018 07.30,,121.23,,121.23
03/05/2018 07.45,,120.46,,120.46
03/05/2018 08.00,,121.69,,121.69
03/05/2018 08.15,,124.2,,124.2
03/05/2018 08.30,,126.49,,126.49
03/05/2018 08.45,,134.04,,134.04
03/05/2018 09.00,,132.59,,132.59
03/05/2018 09.15,130.12,,,130.12
03/05/2018 09.30,127.25,,,127.25
03/05/2018 09.45,114.36,,,114.36
03/05/2018 10.00,103.91,,,103.91
03/05/2018 10.15,110.12,,,110.12
03/05/2018 10.30,107.78,,,107.78
03/05/2018 10.45,102.2,,,102.2
03/05/2018 11.00,92.59,,,92.59
03/05/2018 11.15,88.45,,,88.45
03/05/2018 11.30,87.93,,,87.93
03/05/2018 11.45,94.61,,,94.61
03/05/2018 12.00,92.46,,,92.46
03/05/2018 12.15,86.62,,,86.62
03/05/2018 12.30,91.16,,,91.16
03/05/2018 12.45,84.06,,,84.06
03/05/2018 13.00,75.32,,,75.32
03/05/2018 13.15,75.46,,,75.46
03/05/2018 13.30,71.48,,,71.48
03/05/2018 13.45,71.79,,,71.79
03/05/2018 14.00,74.48,,,74.48
03/05/2018 14.15,70.59,,,70.59
03/05/2018 14.30,77.54,,,77.54
03/05/2018 14.45,81.32,,,81.32
03/05/2018 15.00,84.88,,,84.88
03/05/2018 15.15,83.54,,,83.54
03/05/2018 15.30,84.59,,,84.59
03/05/2018 15.45,80.11,,,80.11
03/05/2018 16.00,81.64,,,81.64
03/05/2018 16.15,82.99,,,82.99
03/05/2018 16.30,84.77,,,84.77
03/05/2018 16.45,85.22,,,85.22
03/05/2018 17.00,87.03,,,87.03
03/05/2018 17.15,89.98,,,89.98
03/05/2018 17.30,90.61,,,90.61
03/05/2018 17.45,90.8,,,90.8
03/05/2018 18.00,91.38,,,91.38
03/05/2018 18.15,94.43,,,94.43
03/05/2018 18.30,94.9,,,94.9
03/05/2018 18.45,97.83,,,97.83
03/05/2018 19.00,99.03,,,99.03
03/05/2018 19.15,101.7,,,101.7
03/05/2018 19.30,102.38,,,102.38
03/05/2018 19.45,106.03,,,106.03
03/05/2018 20.00,107.91,,,107.91
03/05/2018 20.15,107.75,,,107.75
03/05/2018 20.30,108.88,,,108.88
03/05/2018 20.45,113.06,,,113.06
03/05/2018 21.00,114.67,,,114.67
03/05/2018 21.15,122.57,,,122.57
03/05/2018 21.30,124.56,,,124.56
03/05/2018 21.45,125.33,,,125.33
03/05/2018 22.00,128.81,,,128.81
03/05/2018 22.15,,133.19,,133.19
03/05/2018 22.30,,135.28,,135.28
03/05/2018 22.45,,136.22,,136.22
03/05/2018 23.00,,140.56,,140.56
03/05/2018 23.15,,145.51,,145.51
03/05/2018 23.30,,149.88,,149.88
03/05/2018 23.45,,152.76,,152.76
03/05/2018 24.00,,154.65,,154.65
04/05/2018 00.15,,159.97,,159.97
04/05/2018 00.30,,165.38,,165.38
04/05/2018 00.45,,167.12,,167.12
04/05/2018 01.00,,165.83,,165.83
04/05/2018 01.15,,161.75,,161.75
04/05/2018 01.30,,156.26,,156.26
04/05/2018 01.45,,153.55,,153.55
04/05/2018 02.00,,150.97,,150.97
04/05/2018 02.15,,147.59,,147.59
04/05/2018 02.30,,146.36,,146.36
04/05/2018 02.45,,142.77,,142.77
04/05/2018 03.00,,137.46,,137.46
04/05/2018 03.15,,136.65,,136.65
04/05/2018 03.30,,134.54,,134.54
04/05/2018 03.45,,132.06,,132.06
04/05/2018 04.00,,130.39,,130.39
04/05/2018 04.15,,130.93,,130.93
04/05/2018 04.30,,125.9,,125.9
04/05/2018 04.45,,123.14,,123.14
04/05/2018 05.00,,123.11,,123.11
04/05/2018 05.15,,124.64,,124.64
04/05/2018 05.30,,124.02,,124.02
04/05/2018 05.45,,125.73,,125.73
04/05/2018 06.00,,122.38,,122.38
04/05/2018 06.15,,117.46,,117.46
04/05/2018 06.30,,118.15,,118.15
04/05/2018 06.45,,118.41,,118.41
04/05/2018 07.00,,116.85,,116.85
04/05/2018 07.15,,117.38,,117.38
04/05/2018 07.30,,119.35,,119.35
04/05/2018 07.45,,118.67,,118.67
04/05/2018 08.00,,123.98,,123.98
04/05/2018 08.15,,123.98,,123.98
04/05/2018 08.30,,123.7,,123.7
04/05/2018 08.45,,129.15,,129.15
04/05/2018 09.00,,124.09,,124.09
04/05/2018 09.15,118.72,,,118.72
04/05/2018 09.30,114.11,,,114.11
04/05/2018 09.45,110.72,,,110.72
04/05/2018 10.00,103.54,,,103.54
04/05/2018 10.15,94.75,,,94.75
04/05/2018 10.30,89.33,,,89.33
04/05/2018 10.45,89.45,,,89.45
04/05/2018 11.00,87.49,,,87.49
04/05/2018 11.15,80.75,,,80.75
04/05/2018 11.30,84.61,,,84.61
04/05/2018 11.45,82.7,,,82.7
04/05/2018 12.00,86.82,,,86.82
04/05/2018 12.15,81.93,,,81.93
04/05/2018 12.30,79.4,,,79.4
04/05/2018 12.45,77.24,,,77.24
04/05/2018 13.00,76.74,,,76.74
04/05/2018 13.15,76.48,,,76.48
04/05/2018 13.30,73.64,,,73.64
04/05/2018 13.45,86.56,,,86.56
04/05/2018 14.00,88.33,,,88.33
04/05/2018 14.15,82.87,,,82.87
04/05/2018 14.30,76.17,,,76.17
04/05/2018 14.45,71.08,,,71.08
04/05/2018 15.00,65.64,,,65.64
04/05/2018 15.15,64.48,,,64.48
04/05/2018 15.30,64.9,,,64.9
04/05/2018 15.45,66.08,,,66.08
04/05/2018 16.00,66.74,,,66.74
04/05/2018 16.15,68.16,,,68.16
04/05/2018 16.30,71.19,,,71.19
04/05/2018 16.45,69,,,69
04/05/2018 17.00,71.08,,,71.08
04/05/2018 17.15,73.62,,,73.62
04/05/2018 17.30,76.51,,,76.51
04/05/2018 17.45,76.04,,,76.04
04/05/2018 18.00,76.96,,,76.96
04/05/2018 18.15,75.04,,,75.04
04/05/2018 18.30,79.37,,,79.37
04/05/2018 18.45,80.32,,,80.32
04/05/2018 19.00,83.33,,,83.33
04/05/2018 19.15,83.24,,,83.24
04/05/2018 19.30,84.88,,,84.88
04/05/2018 19.45,81.64,,,81.64
04/05/2018 20.00,80.37,,,80.37
04/05/2018 20.15,80.64,,,80.64
04/05/2018 20.30,81.45,,,81.45
04/05/2018 20.45,84.8,,,84.8
04/05/2018 21.00,91.7,,,91.7
04/05/2018 21.15,92.51,,,92.51
04/05/2018 21.30,95.82,,,95.82
04/05/2018 21.45,100.36,,,100.36
04/05/2018 22.00,101.59,,,101.59
04/05/2018 22.15,,107.9,,107.9
04/05/2018 22.30,,110.75,,110.75
