,RATE A,RATE B,RATE C,Total
02/03/2018 14.00,73.32,,,73.32
02/03/2018 14.15,73.46,,,73.46
02/03/2018 14.30,79.11,,,79.11
02/03/2018 14.45,83.93,,,83.93
02/03/2018 15.00,80.95,,,80.95
02/03/2018 15.15,76.82,,,76.82
02/03/2018 15.30,81.04,,,81.04
02/03/2018 15.45,80.98,,,80.98
02/03/2018 16.00,81.32,,,81.32
02/03/2018 16.15,82.22,,,82.22
02/03/2018 16.30,84.17,,,84.17
02/03/2018 16.45,85.4,,,85.4
02/03/2018 17.00,87.14,,,87.14
02/03/2018 17.15,92.48,,,92.48
02/03/2018 17.30,89.04,,,89.04
02/03/2018 17.45,85.16,,,85.16
02/03/2018 18.00,86.85,,,86.85
02/03/2018 18.15,88.32,,,88.32
02/03/2018 18.30,88.59,,,88.59
02/03/2018 18.45,89.62,,,89.62
02/03/2018 19.00,93.12,,,93.12
02/03/2018 19.15,91.61,,,91.61
02/03/2018 19.30,93.8,,,93.8
02/03/2018 19.45,92.03,,,92.03
02/03/2018 20.00,96.06,,,96.06
02/03/2018 20.15,96.64,,,96.64
02/03/2018 20.30,100.62,,,100.62
02/03/2018 20.45,104.07,,,104.07
02/03/2018 21.00,106.48,,,106.48
02/03/2018 21.15,108.82,,,108.82
02/03/2018 21.30,117.07,,,117.07
02/03/2018 21.45,120.56,,,120.56
02/03/2018 22.00,124.75,,,124.75
02/03/2018 22.15,,129.17,,129.17
02/03/2018 22.30,,134.17,,134.17
02/03/2018 22.45,,135.23,,135.23
02/03/2018 23.00,,143.23,,143.23
02/03/2018 23.15,,141.07,,141.07
02/03/2018 23.30,,146.07,,146.07
02/03/2018 23.45,,150.46,,150.46
02/03/2018 24.00,,151.23,,151.23
03/03/2018 00.15,,,150.97,150.97
03/03/2018 00.30,,,157.05,157.05
03/03/2018 00.45,,,161.72,161.72
03/03/2018 01.00,,,166.51,166.51
03/03/2018 01.15,,,162.49,162.49
03/03/2018 01.30,,,165.96,165.96
03/03/2018 01.45,,,161.04,161.04
03/03/2018 02.00,,,164.63,164.63
03/03/2018 02.15,,,159.76,159.76
03/03/2018 02.30,,,156.38,156.38
03/03/2018 02.45,,,154.26,154.26
03/03/2018 03.00,,,150.31,150.31
03/03/2018 03.15,,,149.17,149.17
03/03/2018 03.30,,,146.25,146.25
03/03/2018 03.45,,,143.93,143.93
03/03/2018 04.00,,,142.01,142.01
03/03/2018 04.15,,,137.46,137.46
03/03/2018 04.30,,,136.44,136.44
03/03/2018 04.45,,,136.09,136.09
03/03/2018 05.00,,,134.57,134.57
03/03/2018 05.15,,,132.19,132.19
03/03/2018 05.30,,,130.17,130.17
03/03/2018 05.45,,,128.59,128.59
03/03/2018 06.00,,,127.06,127.06
03/03/2018 06.15,,,125.28,125.28
03/03/2018 06.30,,,119.78,119.78
03/03/2018 06.45,,,118.86,118.86
03/03/2018 07.00,,,113.82,113.82
03/03/2018 07.15,,,113.94,113.94
03/03/2018 07.30,,,111.86,111.86
03/03/2018 07.45,,,113.3,113.3
03/03/2018 08.00,,,112.75,112.75
03/03/2018 08.15,,,109.77,109.77
03/03/2018 08.30,,,110.82,110.82
03/03/2018 08.45,,,106.57,106.57
03/03/2018 09.00,,,107.19,107.19
03/03/2018 09.15,,,102.33,102.33
03/03/2018 09.30,,,95.82,95.82
03/03/2018 09.45,,,91.67,91.67
03/03/2018 10.00,,,92.82,92.82
03/03/2018 10.15,,,80.87,80.87
03/03/2018 10.30,,,79.14,79.14
03/03/2018 10.45,,,81.49,81.49
03/03/2018 11.00,,,77,77
03/03/2018 11.15,,,70.9,70.9
03/03/2018 11.30,,,70.19,70.19
03/03/2018 11.45,,,68.45,68.45
03/03/2018 12.00,,,68.33,68.33
03/03/2018 12.15,,,64.62,64.62
03/03/2018 12.30,,,66.35,66.35
03/03/2018 12.45,,,67.88,67.88
03/03/2018 13.00,,,65.83,65.83
03/03/2018 13.15,,,64.74,64.74
03/03/2018 13.30,,,67.96,67.96
03/03/2018 13.45,,,64.19,64.19
03/03/2018 14.00,,,66.19,66.19
03/03/2018 14.15,,,71.85,71.85
03/03/2018 14.30,,,65.48,65.48
03/03/2018 14.45,,,65.85,65.85
03/03/2018 15.00,,,73.58,73.58
03/03/2018 15.15,,,68.83,68.83
03/03/2018 15.30,,,66.92,66.92
03/03/2018 15.45,,,74.29,74.29
03/03/2018 16.00,,,70.11,70.11
03/03/2018 16.15,,,72.11,72.11
03/03/2018 16.30,,,70.88,70.88
03/03/2018 16.45,,,72.41,72.41
03/03/2018 17.00,,,74.72,74.72
03/03/2018 17.15,,,76.3,76.3
