,RATE A,RATE B,RATE C,Total
02/10/2018 14.00,98.56,,,98.56
02/10/2018 14.15,106.27,,,106.27
02/10/2018 14.30,111.73,,,111.73
02/10/2018 14.45,108.46,,,108.46
02/10/2018 15.00,105.12,,,105.12
02/10/2018 15.15,98.46,,,98.46
02/10/2018 15.30,98.4,,,98.4
02/10/2018 15.45,96.59,,,96.59
02/10/2018 16.00,91.12,,,91.12
02/10/2018 16.15,88.38,,,88.38
02/10/2018 16.30,87.17,,,87.17
02/10/2018 16.45,86.28,,,86.28
02/10/2018 17.00,87.56,,,87.56
02/10/2018 17.15,89.09,,,89.09
02/10/2018 17.30,88.61,,,88.61
02/10/2018 17.45,88.43,,,88.43
02/10/2018 18.00,93.53,,,93.53
02/10/2018 18.15,95.77,,,95.77
02/10/2018 18.30,98.35,,,98.35
02/10/2018 18.45,100.35,,,100.35
02/10/2018 19.00,101.83,,,101.83
02/10/2018 19.15,97.36,,,97.36
02/10/2018 19.30,97.86,,,97.86
02/10/2018 19.45,99.61,,,99.61
02/10/2018 20.00,101.96,,,101.96
02/10/2018 20.15,102.45,,,102.45
02/10/2018 20.30,106.24,,,106.24
02/10/2018 20.45,107.2,,,107.2
02/10/2018 21.00,104.9,,,104.9
02/10/2018 21.15,112.75,,,112.75
02/10/2018 21.30,114.91,,,114.91
02/10/2018 21.45,115.52,,,115.52
02/10/2018 22.00,117.75,,,117.75
02/10/2018 22.15,,130.14,,130.14
02/10/2018 22.30,,131.1,,131.1
02/10/2018 22.45,,128.73,,128.73
02/10/2018 23.00,,131.6,,131.6
02/10/2018 23.15,,137.62,,137.62
02/10/2018 23.30,,140.51,,140.51
02/10/2018 23.45,,140.31,,140.31
02/10/2018 24.00,,145.28,,145.28
03/10/2018 00.15,,149.86,,149.86
03/10/2018 00.30,,151.65,,151.65
03/10/2018 00.45,,151.8,,151.8
03/10/2018 01.00,,152.05,,152.05
03/10/2018 01.15,,154.39,,154.39
03/10/2018 01.30,,152.76,,152.76
03/10/2018 01.45,,149.02,,149.02
03/10/2018 02.00,,145.04,,145.04
03/10/2018 02.15,,141.36,,141.36
03/10/2018 02.30,,140.14,,140.14
03/10/2018 02.45,,139.56,,139.56
03/10/2018 03.00,,136.54,,136.54
03/10/2018 03.15,,137.35,,137.35
03/10/2018 03.30,,136.06,,136.06
03/10/2018 03.45,,131.48,,131.48
03/10/2018 04.00,,131.15,,131.15
03/10/2018 04.15,,127.69,,127.69
03/10/2018 04.30,,125.86,,125.86
03/10/2018 04.45,,125.98,,125.98
03/10/2018 05.00,,122.14,,122.14
03/10/2018 05.15,,120.91,,120.91
03/10/2018 05.30,,121.81,,121.81
03/10/2018 05.45,,118.25,,118.25
03/10/2018 06.00,,116.54,,116.54
03/10/2018 06.15,,116.04,,116.04
03/10/2018 06.30,,115.64,,115.64
03/10/2018 06.45,,115.86,,115.86
03/10/2018 07.00,,123.3,,123.3
03/10/2018 07.15,,125.27,,125.27
03/10/2018 07.30,,127.6,,127.6
03/10/2018 07.45,,120.78,,120.78
03/10/2018 08.00,,121.57,,121.57
03/10/2018 08.15,,116.49,,116.49
03/10/2018 08.30,,109.3,,109.3
03/10/2018 08.45,,103.7,,103.7
03/10/2018 09.00,,95.14,,95.14
