,RATE A,RATE B,RATE C,Total
01/01/2018 00.15,,,32.63,32.63
01/01/2018 00.30,,,32.24,32.24
01/01/2018 00.45,,,31.03,31.03
01/01/2018 01.00,,,31.87,31.87
01/01/2018 01.15,,,31.87,31.87
01/01/2018 01.30,,,30.5,30.5
01/01/2018 01.45,,,30.09,30.09
01/01/2018 02.00,,,31.06,31.06
01/01/2018 02.15,,,32.92,32.92
01/01/2018 02.30,,,31.8,31.8
01/01/2018 02.45,,,31.8,31.8
01/01/2018 03.00,,,33.05,33.05
01/01/2018 03.15,,,32.3,32.3
01/01/2018 03.30,,,32.45,32.45
01/01/2018 03.45,,,31.03,31.03
01/01/2018 04.00,,,30.26,30.26
01/01/2018 04.15,,,29.87,29.87
01/01/2018 04.30,,,30.35,30.35
01/01/2018 04.45,,,30.34,30.34
01/01/2018 05.00,,,29.47,29.47
01/01/2018 05.15,,,30.85,30.85
01/01/2018 05.30,,,31.29,31.29
01/01/2018 05.45,,,31.27,31.27
01/01/2018 06.00,,,30.74,30.74
01/01/2018 06.15,,,30.87,30.87
01/01/2018 06.30,,,29.55,29.55
01/01/2018 06.45,,,27.9,27.9
01/01/2018 07.00,,,29.98,29.98
01/01/2018 07.15,,,28.43,28.43
01/01/2018 07.30,,,28.34,28.34
01/01/2018 07.45,,,24.68,24.68
01/01/2018 08.00,,,23.06,23.06
01/01/2018 08.15,,,23.29,23.29
01/01/2018 08.30,,,21.93,21.93
01/01/2018 08.45,,,22.03,22.03
01/01/2018 09.00,,,20.89,20.89
01/01/2018 09.15,,,21.16,21.16
01/01/2018 09.30,,,20.93,20.93
01/01/2018 09.45,,,18.66,18.66
01/01/2018 10.00,,,19.08,19.08
01/01/2018 10.15,,,17.9,17.9
01/01/2018 10.30,,,19.95,19.95
01/01/2018 10.45,,,18.89,18.89
01/01/2018 11.00,,,17.66,17.66
01/01/2018 11.15,,,16.02,16.02
01/01/2018 11.30,,,16.1,16.1
01/01/2018 11.45,,,16.66,16.66
01/01/2018 12.00,,,16.79,16.79
01/01/2018 12.15,,,22.19,22.19
01/01/2018 12.30,,,14.76,14.76
01/01/2018 12.45,,,14.63,14.63
01/01/2018 13.00,,,15.37,15.37
01/01/2018 13.15,,,22.21,22.21
01/01/2018 13.30,,,23.77,23.77
01/01/2018 13.45,,,22.45,22.45
01/01/2018 14.00,,,19.51,19.51
01/01/2018 14.15,,,20.71,20.71
01/01/2018 14.30,,,21.18,21.18
01/01/2018 14.45,,,19.79,19.79
01/01/2018 15.00,,,22.45,22.45
01/01/2018 15.15,,,26.53,26.53
01/01/2018 15.30,,,23.24,23.24
01/01/2018 15.45,,,22.16,22.16
01/01/2018 16.00,,,26.22,26.22
01/01/2018 16.15,,,27.19,27.19
01/01/2018 16.30,,,24.92,24.92
