,RATE A,RATE B,RATE C,Total
02/06/2018 14.00,,,77.66,77.66
02/06/2018 14.15,,,79.29,79.29
02/06/2018 14.30,,,78.45,78.45
02/06/2018 14.45,,,77.27,77.27
02/06/2018 15.00,,,82.93,82.93
02/06/2018 15.15,,,80.53,80.53
02/06/2018 15.30,,,81.96,81.96
02/06/2018 15.45,,,82.48,82.48
02/06/2018 16.00,,,89.19,89.19
02/06/2018 16.15,,,87.19,87.19
02/06/2018 16.30,,,89.95,89.95
02/06/2018 16.45,,,92.35,92.35
02/06/2018 17.00,,,95.49,95.49
02/06/2018 17.15,,,92.33,92.33
02/06/2018 17.30,,,91.51,91.51
02/06/2018 17.45,,,92.2,92.2
02/06/2018 18.00,,,91.17,91.17
02/06/2018 18.15,,,90.98,90.98
02/06/2018 18.30,,,90.04,90.04
02/06/2018 18.45,,,90.62,90.62
02/06/2018 19.00,,,90.59,90.59
02/06/2018 19.15,,,91.99,91.99
02/06/2018 19.30,,,93.45,93.45
02/06/2018 19.45,,,95.85,95.85
02/06/2018 20.00,,,96.12,96.12
02/06/2018 20.15,,,92.74,92.74
02/06/2018 20.30,,,90.66,90.66
02/06/2018 20.45,,,94.82,94.82
02/06/2018 21.00,,,97.24,97.24
02/06/2018 21.15,,,100.45,100.45
02/06/2018 21.30,,,100.95,100.95
02/06/2018 21.45,,,105.82,105.82
02/06/2018 22.00,,,104.24,104.24
02/06/2018 22.15,,,108.32,108.32
02/06/2018 22.30,,,110.04,110.04
02/06/2018 22.45,,,112.75,112.75
02/06/2018 23.00,,,114.99,114.99
02/06/2018 23.15,,,114.88,114.88
02/06/2018 23.30,,,118.54,118.54
02/06/2018 23.45,,,122.94,122.94
02/06/2018 24.00,,,126.07,126.07
03/06/2018 00.15,,,133.09,133.09
03/06/2018 00.30,,,137.73,137.73
03/06/2018 00.45,,,139.04,139.04
03/06/2018 01.00,,,140.62,140.62
03/06/2018 01.15,,,143.01,143.01
03/06/2018 01.30,,,147.59,147.59
03/06/2018 01.45,,,144.22,144.22
03/06/2018 02.00,,,145.06,145.06
03/06/2018 02.15,,,142.33,142.33
03/06/2018 02.30,,,138.07,138.07
03/06/2018 02.45,,,136.41,136.41
03/06/2018 03.00,,,135.62,135.62
03/06/2018 03.15,,,133.35,133.35
03/06/2018 03.30,,,130.81,130.81
03/06/2018 03.45,,,127.3,127.3
03/06/2018 04.00,,,126.41,126.41
03/06/2018 04.15,,,123.19,123.19
03/06/2018 04.30,,,123.14,123.14
03/06/2018 04.45,,,122.46,122.46
03/06/2018 05.00,,,122.31,122.31
03/06/2018 05.15,,,121.64,121.64
03/06/2018 05.30,,,120.81,120.81
03/06/2018 05.45,,,118.57,118.57
03/06/2018 06.00,,,117.9,117.9
03/06/2018 06.15,,,111.03,111.03
03/06/2018 06.30,,,110.46,110.46
03/06/2018 06.45,,,109.72,109.72
03/06/2018 07.00,,,109.01,109.01
03/06/2018 07.15,,,108.4,108.4
03/06/2018 07.30,,,104.88,104.88
03/06/2018 07.45,,,103.25,103.25
03/06/2018 08.00,,,100.03,100.03
03/06/2018 08.15,,,99.59,99.59
03/06/2018 08.30,,,96.2,96.2
03/06/2018 08.45,,,94.8,94.8
03/06/2018 09.00,,,93.4,93.4
03/06/2018 09.15,,,91.01,91.01
03/06/2018 09.30,,,93.2,93.2
03/06/2018 09.45,,,86.77,86.77
03/06/2018 10.00,,,83.96,83.96
03/06/2018 10.15,,,84.37,84.37
03/06/2018 10.30,,,81.62,81.62
03/06/2018 10.45,,,76.98,76.98
03/06/2018 11.00,,,77.45,77.45
03/06/2018 11.15,,,80.54,80.54
03/06/2018 11.30,,,73.59,73.59
03/06/2018 11.45,,,71,71
03/06/2018 12.00,,,70,70
03/06/2018 12.15,,,69.93,69.93
03/06/2018 12.30,,,68.5,68.5
03/06/2018 12.45,,,64.24,64.24
03/06/2018 13.00,,,60.95,60.95
03/06/2018 13.15,,,60.22,60.22
03/06/2018 13.30,,,60.66,60.66
03/06/2018 13.45,,,58.67,58.67
03/06/2018 14.00,,,61,61
03/06/2018 14.15,,,68.64,68.64
03/06/2018 14.30,,,61.95,61.95
03/06/2018 14.45,,,66.45,66.45
03/06/2018 15.00,,,73.12,73.12
03/06/2018 15.15,,,74.58,74.58
03/06/2018 15.30,,,72.72,72.72
03/06/2018 15.45,,,71.16,71.16
03/06/2018 16.00,,,72.69,72.69
03/06/2018 16.15,,,72.98,72.98
03/06/2018 16.30,,,74.27,74.27
03/06/2018 16.45,,,76.19,76.19
03/06/2018 17.00,,,78.09,78.09
03/06/2018 17.15,,,82.75,82.75
03/06/2018 17.30,,,85.59,85.59
03/06/2018 17.45,,,86.85,86.85
03/06/2018 18.00,,,80.8,80.8
03/06/2018 18.15,,,81.04,81.04
03/06/2018 18.30,,,84.09,84.09
03/06/2018 18.45,,,86.98,86.98
03/06/2018 19.00,,,85.51,85.51
03/06/2018 19.15,,,83.88,83.88
