,RATE A,RATE B,RATE C,Total
01/09/2018 00.15,,,80.09,80.09
01/09/2018 00.30,,,82.14,82.14
01/09/2018 00.45,,,80.58,80.58
01/09/2018 01.00,,,80.93,80.93
01/09/2018 01.15,,,79.46,79.46
01/09/2018 01.30,,,77.12,77.12
01/09/2018 01.45,,,76.69,76.69
01/09/2018 02.00,,,76.06,76.06
01/09/2018 02.15,,,75.91,75.91
01/09/2018 02.30,,,74.45,74.45
01/09/2018 02.45,,,72.8,72.8
01/09/2018 03.00,,,71.5,71.5
01/09/2018 03.15,,,69.95,69.95
01/09/2018 03.30,,,72.19,72.19
01/09/2018 03.45,,,68.85,68.85
01/09/2018 04.00,,,68.14,68.14
01/09/2018 04.15,,,66.96,66.96
01/09/2018 04.30,,,69.9,69.9
01/09/2018 04.45,,,65.72,65.72
01/09/2018 05.00,,,64.35,64.35
01/09/2018 05.15,,,66.82,66.82
01/09/2018 05.30,,,69.41,69.41
01/09/2018 05.45,,,66.11,66.11
01/09/2018 06.00,,,63.5,63.5
01/09/2018 06.15,,,62.67,62.67
01/09/2018 06.30,,,64.61,64.61
01/09/2018 06.45,,,62.71,62.71
01/09/2018 07.00,,,66.06,66.06
01/09/2018 07.15,,,70.29,70.29
01/09/2018 07.30,,,70.09,70.09
01/09/2018 07.45,,,66.83,66.83
01/09/2018 08.00,,,66.79,66.79
01/09/2018 08.15,,,64.43,64.43
01/09/2018 08.30,,,63.46,63.46
01/09/2018 08.45,,,62.59,62.59
01/09/2018 09.00,,,58.45,58.45
01/09/2018 09.15,,,59.4,59.4
01/09/2018 09.30,,,57.98,57.98
01/09/2018 09.45,,,55.75,55.75
01/09/2018 10.00,,,54.37,54.37
01/09/2018 10.15,,,51.51,51.51
01/09/2018 10.30,,,54,54
01/09/2018 10.45,,,52.87,52.87
01/09/2018 11.00,,,53.75,53.75
01/09/2018 11.15,,,54.01,54.01
01/09/2018 11.30,,,54.04,54.04
01/09/2018 11.45,,,51.71,51.71
01/09/2018 12.00,,,47.8,47.8
01/09/2018 12.15,,,51.64,51.64
01/09/2018 12.30,,,50.03,50.03
01/09/2018 12.45,,,51.38,51.38
01/09/2018 13.00,,,52.48,52.48
01/09/2018 13.15,,,50.95,50.95
01/09/2018 13.30,,,49.74,49.74
01/09/2018 13.45,,,54.45,54.45
01/09/2018 14.00,,,55.69,55.69
01/09/2018 14.15,,,52.45,52.45
01/09/2018 14.30,,,51.95,51.95
01/09/2018 14.45,,,53.71,53.71
01/09/2018 15.00,,,55.96,55.96
01/09/2018 15.15,,,50.74,50.74
01/09/2018 15.30,,,51.88,51.88
01/09/2018 15.45,,,55.82,55.82
01/09/2018 16.00,,,56.19,56.19
01/09/2018 16.15,,,53.43,53.43
01/09/2018 16.30,,,57.29,57.29
01/09/2018 16.45,,,57.25,57.25
01/09/2018 17.00,,,54.16,54.16
01/09/2018 17.15,,,52.37,52.37
01/09/2018 17.30,,,52.27,52.27
01/09/2018 17.45,,,52.11,52.11
01/09/2018 18.00,,,52.21,52.21
01/09/2018 18.15,,,51.42,51.42
01/09/2018 18.30,,,53.64,53.64
01/09/2018 18.45,,,55.24,55.24
01/09/2018 19.00,,,55.19,55.19
01/09/2018 19.15,,,53.45,53.45
01/09/2018 19.30,,,54.35,54.35
01/09/2018 19.45,,,52.9,52.9
01/09/2018 20.00,,,54.11,54.11
01/09/2018 20.15,,,52.84,52.84
01/09/2018 20.30,,,52.8,52.8
01/09/2018 20.45,,,55.85,55.85
01/09/2018 21.00,,,56.79,56.79
01/09/2018 21.15,,,59.53,59.53
01/09/2018 21.30,,,60.87,60.87
01/09/2018 21.45,,,62,62
01/09/2018 22.00,,,62.67,62.67
01/09/2018 22.15,,,65.77,65.77
01/09/2018 22.30,,,65.53,65.53
01/09/2018 22.45,,,66.67,66.67
01/09/2018 23.00,,,68.67,68.67
01/09/2018 23.15,,,72.85,72.85
01/09/2018 23.30,,,72.51,72.51
01/09/2018 23.45,,,71.53,71.53
01/09/2018 24.00,,,74.2,74.2
02/09/2018 00.15,,,77.88,77.88
02/09/2018 00.30,,,77.83,77.83
02/09/2018 00.45,,,78.51,78.51
02/09/2018 01.00,,,78.33,78.33
02/09/2018 01.15,,,79.45,79.45
02/09/2018 01.30,,,78.69,78.69
02/09/2018 01.45,,,78.82,78.82
02/09/2018 02.00,,,78.22,78.22
02/09/2018 02.15,,,76.45,76.45
02/09/2018 02.30,,,75.69,75.69
02/09/2018 02.45,,,73.79,73.79
02/09/2018 03.00,,,73.83,73.83
02/09/2018 03.15,,,71.91,71.91
02/09/2018 03.30,,,72.38,72.38
02/09/2018 03.45,,,69.48,69.48
02/09/2018 04.00,,,69.33,69.33
02/09/2018 04.15,,,67.62,67.62
02/09/2018 04.30,,,67.92,67.92
02/09/2018 04.45,,,66.59,66.59
02/09/2018 05.00,,,63.74,63.74
02/09/2018 05.15,,,65.11,65.11
02/09/2018 05.30,,,64.77,64.77
02/09/2018 05.45,,,65.09,65.09
02/09/2018 06.00,,,62.59,62.59
02/09/2018 06.15,,,61.64,61.64
02/09/2018 06.30,,,60.27,60.27
02/09/2018 06.45,,,57.96,57.96
02/09/2018 07.00,,,57.35,57.35
02/09/2018 07.15,,,57.32,57.32
02/09/2018 07.30,,,57.84,57.84
02/09/2018 07.45,,,57,57
02/09/2018 08.00,,,54.03,54.03
02/09/2018 08.15,,,54.35,54.35
02/09/2018 08.30,,,55.01,55.01
02/09/2018 08.45,,,51.79,51.79
02/09/2018 09.00,,,53.01,53.01
02/09/2018 09.15,,,53.63,53.63
02/09/2018 09.30,,,53.96,53.96
02/09/2018 09.45,,,53.45,53.45
02/09/2018 10.00,,,47.08,47.08
02/09/2018 10.15,,,48.88,48.88
02/09/2018 10.30,,,47.93,47.93
02/09/2018 10.45,,,44.87,44.87
02/09/2018 11.00,,,42.93,42.93
02/09/2018 11.15,,,42.53,42.53
02/09/2018 11.30,,,41.48,41.48
02/09/2018 11.45,,,43.19,43.19
02/09/2018 12.00,,,45.84,45.84
02/09/2018 12.15,,,44.45,44.45
02/09/2018 12.30,,,42.93,42.93
02/09/2018 12.45,,,39.38,39.38
02/09/2018 13.00,,,40.79,40.79
02/09/2018 13.15,,,41.51,41.51
02/09/2018 13.30,,,39.67,39.67
02/09/2018 13.45,,,39.58,39.58
02/09/2018 14.00,,,40.8,40.8
02/09/2018 14.15,,,41.84,41.84
02/09/2018 14.30,,,41.72,41.72
02/09/2018 14.45,,,44.67,44.67
02/09/2018 15.00,,,45.92,45.92
02/09/2018 15.15,,,45.77,45.77
02/09/2018 15.30,,,47.74,47.74
02/09/2018 15.45,,,49.43,49.43
02/09/2018 16.00,,,50.9,50.9
02/09/2018 16.15,,,51.92,51.92
02/09/2018 16.30,,,53.19,53.19
02/09/2018 16.45,,,53.4,53.4
02/09/2018 17.00,,,54.06,54.06
02/09/2018 17.15,,,59.64,59.64
02/09/2018 17.30,,,58.17,58.17
02/09/2018 17.45,,,57.66,57.66
02/09/2018 18.00,,,58.27,58.27
02/09/2018 18.15,,,63.59,63.59
02/09/2018 18.30,,,65.38,65.38
02/09/2018 18.45,,,69.48,69.48
02/09/2018 19.00,,,68.33,68.33
02/09/2018 19.15,,,70.69,70.69
02/09/2018 19.30,,,71.75,71.75
02/09/2018 19.45,,,75.29,75.29
02/09/2018 20.00,,,78.59,78.59
02/09/2018 20.15,,,78.87,78.87
02/09/2018 20.30,,,85.01,85.01
02/09/2018 20.45,,,90.3,90.3
02/09/2018 21.00,,,92.59,92.59
02/09/2018 21.15,,,97.33,97.33
02/09/2018 21.30,,,101.98,101.98
02/09/2018 21.45,,,108.9,108.9
02/09/2018 22.00,,,110.33,110.33
02/09/2018 22.15,,,117.99,117.99
02/09/2018 22.30,,,115.22,115.22
02/09/2018 22.45,,,119.72,119.72
02/09/2018 23.00,,,121.86,121.86
02/09/2018 23.15,,,127.4,127.4
02/09/2018 23.30,,,125.56,125.56
02/09/2018 23.45,,,128.07,128.07
02/09/2018 24.00,,,130.6,130.6
03/09/2018 00.15,,131.12,,131.12
03/09/2018 00.30,,128.88,,128.88
03/09/2018 00.45,,127.52,,127.52
03/09/2018 01.00,,125.69,,125.69
03/09/2018 01.15,,125.35,,125.35
03/09/2018 01.30,,123.07,,123.07
03/09/2018 01.45,,120.72,,120.72
03/09/2018 02.00,,118.56,,118.56
03/09/2018 02.15,,115.46,,115.46
03/09/2018 02.30,,115.02,,115.02
03/09/2018 02.45,,112.83,,112.83
03/09/2018 03.00,,110.67,,110.67
03/09/2018 03.15,,107.46,,107.46
03/09/2018 03.30,,105.69,,105.69
03/09/2018 03.45,,103.56,,103.56
03/09/2018 04.00,,101.03,,101.03
03/09/2018 04.15,,99.67,,99.67
03/09/2018 04.30,,98.36,,98.36
03/09/2018 04.45,,97.36,,97.36
03/09/2018 05.00,,96.49,,96.49
03/09/2018 05.15,,95.85,,95.85
03/09/2018 05.30,,94.41,,94.41
03/09/2018 05.45,,92.48,,92.48
03/09/2018 06.00,,92.38,,92.38
03/09/2018 06.15,,88.74,,88.74
03/09/2018 06.30,,86.38,,86.38
03/09/2018 06.45,,85.2,,85.2
03/09/2018 07.00,,84.12,,84.12
03/09/2018 07.15,,87.88,,87.88
03/09/2018 07.30,,89.35,,89.35
03/09/2018 07.45,,92.22,,92.22
03/09/2018 08.00,,90.2,,90.2
03/09/2018 08.15,,95.72,,95.72
03/09/2018 08.30,,92.54,,92.54
03/09/2018 08.45,,90.91,,90.91
03/09/2018 09.00,,82.08,,82.08
03/09/2018 09.15,74.45,,,74.45
03/09/2018 09.30,67.32,,,67.32
03/09/2018 09.45,64.3,,,64.3
03/09/2018 10.00,59.72,,,59.72
03/09/2018 10.15,59.27,,,59.27
03/09/2018 10.30,57.09,,,57.09
03/09/2018 10.45,56.74,,,56.74
03/09/2018 11.00,57.09,,,57.09
03/09/2018 11.15,55.29,,,55.29
03/09/2018 11.30,56.16,,,56.16
03/09/2018 11.45,54.51,,,54.51
03/09/2018 12.00,53.87,,,53.87
03/09/2018 12.15,53.48,,,53.48
03/09/2018 12.30,54.95,,,54.95
03/09/2018 12.45,53.63,,,53.63
03/09/2018 13.00,51.56,,,51.56
03/09/2018 13.15,50.96,,,50.96
03/09/2018 13.30,54.72,,,54.72
03/09/2018 13.45,55.13,,,55.13
03/09/2018 14.00,55.56,,,55.56
03/09/2018 14.15,57.54,,,57.54
