,RATE A,RATE B,RATE C,Total
02/09/2018 14.00,,,0.6,0.6
02/09/2018 14.15,,,0.47,0.47
02/09/2018 14.30,,,0.63,0.63
02/09/2018 14.45,,,0.98,0.98
02/09/2018 15.00,,,0.92,0.92
02/09/2018 15.15,,,1.07,1.07
02/09/2018 15.30,,,1.27,1.27
02/09/2018 15.45,,,1.6,1.6
02/09/2018 16.00,,,1.52,1.52
02/09/2018 16.15,,,1.47,1.47
02/09/2018 16.30,,,1.58,1.58
02/09/2018 16.45,,,1.92,1.92
02/09/2018 17.00,,,1.97,1.97
02/09/2018 17.15,,,2.08,2.08
02/09/2018 17.30,,,2.08,2.08
02/09/2018 17.45,,,1.95,1.95
02/09/2018 18.00,,,2.1,2.1
02/09/2018 18.15,,,2.28,2.28
02/09/2018 18.30,,,2.4,2.4
02/09/2018 18.45,,,2.48,2.48
02/09/2018 19.00,,,2.69,2.69
02/09/2018 19.15,,,2.71,2.71
02/09/2018 19.30,,,2.62,2.62
02/09/2018 19.45,,,2.59,2.59
02/09/2018 20.00,,,2.46,2.46
02/09/2018 20.15,,,2.51,2.51
02/09/2018 20.30,,,2.6,2.6
02/09/2018 20.45,,,2.52,2.52
02/09/2018 21.00,,,2.42,2.42
02/09/2018 21.15,,,1.88,1.88
02/09/2018 21.30,,,1.84,1.84
02/09/2018 21.45,,,1.87,1.87
02/09/2018 22.00,,,1.8,1.8
02/09/2018 22.15,,,1.78,1.78
02/09/2018 22.30,,,1.76,1.76
02/09/2018 22.45,,,1.8,1.8
02/09/2018 23.00,,,1.83,1.83
02/09/2018 23.15,,,1.83,1.83
02/09/2018 23.30,,,1.8,1.8
02/09/2018 23.45,,,1.84,1.84
02/09/2018 24.00,,,1.81,1.81
03/09/2018 00.15,,1.7,,1.7
03/09/2018 00.30,,1.65,,1.65
03/09/2018 00.45,,1.6,,1.6
03/09/2018 01.00,,1.58,,1.58
03/09/2018 01.15,,1.67,,1.67
03/09/2018 01.30,,1.64,,1.64
03/09/2018 01.45,,1.62,,1.62
03/09/2018 02.00,,1.67,,1.67
03/09/2018 02.15,,1.62,,1.62
03/09/2018 02.30,,1.63,,1.63
03/09/2018 02.45,,1.69,,1.69
03/09/2018 03.00,,1.66,,1.66
03/09/2018 03.15,,1.62,,1.62
03/09/2018 03.30,,1.66,,1.66
