,RATE A,RATE B,RATE C,Total
02/10/2018 14.00,2.37,,,2.37
02/10/2018 14.15,2.28,,,2.28
02/10/2018 14.30,2.33,,,2.33
02/10/2018 14.45,2.61,,,2.61
02/10/2018 15.00,3.06,,,3.06
02/10/2018 15.15,3.66,,,3.66
02/10/2018 15.30,3.5,,,3.5
02/10/2018 15.45,3.39,,,3.39
02/10/2018 16.00,3.29,,,3.29
02/10/2018 16.15,3.27,,,3.27
02/10/2018 16.30,3.19,,,3.19
02/10/2018 16.45,3.09,,,3.09
02/10/2018 17.00,2.94,,,2.94
02/10/2018 17.15,2.81,,,2.81
02/10/2018 17.30,2.93,,,2.93
02/10/2018 17.45,3.02,,,3.02
02/10/2018 18.00,3.13,,,3.13
02/10/2018 18.15,3.39,,,3.39
02/10/2018 18.30,3.58,,,3.58
02/10/2018 18.45,3.72,,,3.72
02/10/2018 19.00,3.68,,,3.68
02/10/2018 19.15,3.76,,,3.76
02/10/2018 19.30,3.77,,,3.77
02/10/2018 19.45,3.81,,,3.81
02/10/2018 20.00,3.79,,,3.79
02/10/2018 20.15,3.54,,,3.54
02/10/2018 20.30,3.32,,,3.32
02/10/2018 20.45,3.26,,,3.26
02/10/2018 21.00,3.16,,,3.16
02/10/2018 21.15,2.35,,,2.35
02/10/2018 21.30,2.32,,,2.32
02/10/2018 21.45,2.33,,,2.33
02/10/2018 22.00,1.98,,,1.98
02/10/2018 22.15,,1.81,,1.81
02/10/2018 22.30,,1.82,,1.82
02/10/2018 22.45,,1.77,,1.77
02/10/2018 23.00,,1.77,,1.77
02/10/2018 23.15,,1.8,,1.8
02/10/2018 23.30,,1.77,,1.77
02/10/2018 23.45,,1.68,,1.68
02/10/2018 24.00,,1.67,,1.67
03/10/2018 00.15,,1.67,,1.67
03/10/2018 00.30,,1.57,,1.57
03/10/2018 00.45,,1.62,,1.62
03/10/2018 01.00,,1.66,,1.66
03/10/2018 01.15,,1.65,,1.65
03/10/2018 01.30,,1.67,,1.67
03/10/2018 01.45,,1.7,,1.7
03/10/2018 02.00,,1.7,,1.7
03/10/2018 02.15,,1.65,,1.65
03/10/2018 02.30,,1.63,,1.63
03/10/2018 02.45,,1.6,,1.6
03/10/2018 03.00,,1.58,,1.58
03/10/2018 03.15,,1.59,,1.59
03/10/2018 03.30,,1.6,,1.6
03/10/2018 03.45,,1.59,,1.59
03/10/2018 04.00,,1.58,,1.58
03/10/2018 04.15,,1.64,,1.64
03/10/2018 04.30,,1.61,,1.61
03/10/2018 04.45,,1.61,,1.61
03/10/2018 05.00,,1.62,,1.62
03/10/2018 05.15,,1.57,,1.57
03/10/2018 05.30,,1.53,,1.53
03/10/2018 05.45,,1.55,,1.55
03/10/2018 06.00,,1.49,,1.49
03/10/2018 06.15,,1.38,,1.38
03/10/2018 06.30,,1.38,,1.38
03/10/2018 06.45,,1.44,,1.44
03/10/2018 07.00,,1.45,,1.45
03/10/2018 07.15,,1.55,,1.55
03/10/2018 07.30,,1.6,,1.6
03/10/2018 07.45,,1.6,,1.6
03/10/2018 08.00,,1.99,,1.99
03/10/2018 08.15,,2.15,,2.15
03/10/2018 08.30,,2.19,,2.19
03/10/2018 08.45,,2.17,,2.17
03/10/2018 09.00,,2.17,,2.17
03/10/2018 09.15,2.29,,,2.29
03/10/2018 09.30,1.83,,,1.83
03/10/2018 09.45,0.54,,,0.54
03/10/2018 10.00,0.61,,,0.61
03/10/2018 10.15,0.92,,,0.92
03/10/2018 10.30,0.45,,,0.45
03/10/2018 10.45,0.43,,,0.43
03/10/2018 11.00,0.58,,,0.58
03/10/2018 11.15,1.07,,,1.07
03/10/2018 11.30,1.52,,,1.52
03/10/2018 11.45,1.3,,,1.3
03/10/2018 12.00,1.11,,,1.11
03/10/2018 12.15,0.7,,,0.7
03/10/2018 12.30,0.95,,,0.95
03/10/2018 12.45,0.53,,,0.53
03/10/2018 13.00,0.82,,,0.82
03/10/2018 13.15,1.54,,,1.54
03/10/2018 13.30,1.15,,,1.15
03/10/2018 13.45,1.26,,,1.26
03/10/2018 14.00,1.73,,,1.73
03/10/2018 14.15,1.28,,,1.28
03/10/2018 14.30,1.15,,,1.15
03/10/2018 14.45,1.69,,,1.69
03/10/2018 15.00,1.79,,,1.79
03/10/2018 15.15,1.93,,,1.93
03/10/2018 15.30,2.01,,,2.01
03/10/2018 15.45,2.15,,,2.15
03/10/2018 16.00,2.9,,,2.9
03/10/2018 16.15,2.51,,,2.51
03/10/2018 16.30,3.15,,,3.15
03/10/2018 16.45,3.23,,,3.23
03/10/2018 17.00,3.19,,,3.19
03/10/2018 17.15,3.31,,,3.31
03/10/2018 17.30,3.37,,,3.37
03/10/2018 17.45,3.21,,,3.21
03/10/2018 18.00,3.48,,,3.48
03/10/2018 18.15,3.78,,,3.78
03/10/2018 18.30,3.73,,,3.73
03/10/2018 18.45,3.93,,,3.93
03/10/2018 19.00,4.05,,,4.05
03/10/2018 19.15,4.09,,,4.09
03/10/2018 19.30,4.09,,,4.09
03/10/2018 19.45,4.03,,,4.03
03/10/2018 20.00,3.92,,,3.92
03/10/2018 20.15,4.08,,,4.08
03/10/2018 20.30,4.04,,,4.04
03/10/2018 20.45,4,,,4
03/10/2018 21.00,3.56,,,3.56
03/10/2018 21.15,2.7,,,2.7
03/10/2018 21.30,2.29,,,2.29
03/10/2018 21.45,2.24,,,2.24
03/10/2018 22.00,2.23,,,2.23
03/10/2018 22.15,,1.84,,1.84
03/10/2018 22.30,,1.83,,1.83
03/10/2018 22.45,,1.85,,1.85
03/10/2018 23.00,,1.85,,1.85
03/10/2018 23.15,,1.8,,1.8
03/10/2018 23.30,,1.79,,1.79
03/10/2018 23.45,,1.87,,1.87
03/10/2018 24.00,,1.85,,1.85
04/10/2018 00.15,,1.77,,1.77
04/10/2018 00.30,,1.69,,1.69
04/10/2018 00.45,,1.69,,1.69
04/10/2018 01.00,,1.66,,1.66
04/10/2018 01.15,,1.74,,1.74
04/10/2018 01.30,,1.77,,1.77
04/10/2018 01.45,,1.72,,1.72
04/10/2018 02.00,,1.66,,1.66
04/10/2018 02.15,,1.71,,1.71
04/10/2018 02.30,,1.66,,1.66
04/10/2018 02.45,,1.68,,1.68
04/10/2018 03.00,,1.7,,1.7
04/10/2018 03.15,,1.63,,1.63
04/10/2018 03.30,,1.6,,1.6
04/10/2018 03.45,,1.62,,1.62
04/10/2018 04.00,,1.6,,1.6
04/10/2018 04.15,,1.6,,1.6
04/10/2018 04.30,,1.72,,1.72
04/10/2018 04.45,,1.81,,1.81
04/10/2018 05.00,,1.78,,1.78
04/10/2018 05.15,,1.71,,1.71
04/10/2018 05.30,,1.8,,1.8
04/10/2018 05.45,,1.79,,1.79
04/10/2018 06.00,,1.62,,1.62
04/10/2018 06.15,,1.63,,1.63
04/10/2018 06.30,,1.62,,1.62
04/10/2018 06.45,,1.53,,1.53
04/10/2018 07.00,,1.48,,1.48
04/10/2018 07.15,,1.41,,1.41
04/10/2018 07.30,,1.32,,1.32
04/10/2018 07.45,,1.5,,1.5
04/10/2018 08.00,,1.47,,1.47
04/10/2018 08.15,,1.19,,1.19
04/10/2018 08.30,,0.99,,0.99
04/10/2018 08.45,,0.76,,0.76
04/10/2018 09.00,,0.6,,0.6
04/10/2018 09.15,1.16,,,1.16
04/10/2018 09.30,0.3,,,0.3
04/10/2018 09.45,0.33,,,0.33
04/10/2018 10.00,0.51,,,0.51
04/10/2018 10.15,0.63,,,0.63
04/10/2018 10.30,0.59,,,0.59
04/10/2018 10.45,1.38,,,1.38
04/10/2018 11.00,0.73,,,0.73
04/10/2018 11.15,0.4,,,0.4
04/10/2018 11.30,1.11,,,1.11
04/10/2018 11.45,0.78,,,0.78
04/10/2018 12.00,0.72,,,0.72
04/10/2018 12.15,1.01,,,1.01
04/10/2018 12.30,1.03,,,1.03
04/10/2018 12.45,0.82,,,0.82
04/10/2018 13.00,0.54,,,0.54
04/10/2018 13.15,0.98,,,0.98
04/10/2018 13.30,0.6,,,0.6
04/10/2018 13.45,1.02,,,1.02
04/10/2018 14.00,1.71,,,1.71
04/10/2018 14.15,1.15,,,1.15
04/10/2018 14.30,1.19,,,1.19
04/10/2018 14.45,1.69,,,1.69
04/10/2018 15.00,1.11,,,1.11
04/10/2018 15.15,1.71,,,1.71
04/10/2018 15.30,2.23,,,2.23
04/10/2018 15.45,2.88,,,2.88
04/10/2018 16.00,3.25,,,3.25
04/10/2018 16.15,2.89,,,2.89
04/10/2018 16.30,2.89,,,2.89
04/10/2018 16.45,3.03,,,3.03
04/10/2018 17.00,3.41,,,3.41
04/10/2018 17.15,3.37,,,3.37
04/10/2018 17.30,3.47,,,3.47
04/10/2018 17.45,3.46,,,3.46
04/10/2018 18.00,3.36,,,3.36
04/10/2018 18.15,3.49,,,3.49
04/10/2018 18.30,3.59,,,3.59
04/10/2018 18.45,3.4,,,3.4
04/10/2018 19.00,3.13,,,3.13
04/10/2018 19.15,3.11,,,3.11
04/10/2018 19.30,3.02,,,3.02
04/10/2018 19.45,3.19,,,3.19
04/10/2018 20.00,3.16,,,3.16
04/10/2018 20.15,3.05,,,3.05
04/10/2018 20.30,2.94,,,2.94
04/10/2018 20.45,2.88,,,2.88
04/10/2018 21.00,2.79,,,2.79
04/10/2018 21.15,1.9,,,1.9
04/10/2018 21.30,1.8,,,1.8
04/10/2018 21.45,1.85,,,1.85
04/10/2018 22.00,1.84,,,1.84
04/10/2018 22.15,,1.82,,1.82
04/10/2018 22.30,,1.81,,1.81
04/10/2018 22.45,,1.8,,1.8
04/10/2018 23.00,,1.75,,1.75
04/10/2018 23.15,,1.74,,1.74
04/10/2018 23.30,,1.71,,1.71
04/10/2018 23.45,,1.77,,1.77
04/10/2018 24.00,,1.8,,1.8
05/10/2018 00.15,,1.76,,1.76
05/10/2018 00.30,,1.63,,1.63
05/10/2018 00.45,,1.69,,1.69
05/10/2018 01.00,,1.82,,1.82
05/10/2018 01.15,,1.88,,1.88
05/10/2018 01.30,,1.81,,1.81
05/10/2018 01.45,,1.76,,1.76
05/10/2018 02.00,,1.78,,1.78
05/10/2018 02.15,,1.71,,1.71
05/10/2018 02.30,,1.68,,1.68
05/10/2018 02.45,,1.71,,1.71
05/10/2018 03.00,,1.69,,1.69
05/10/2018 03.15,,1.6,,1.6
05/10/2018 03.30,,1.57,,1.57
05/10/2018 03.45,,1.59,,1.59
05/10/2018 04.00,,1.6,,1.6
05/10/2018 04.15,,1.66,,1.66
05/10/2018 04.30,,1.61,,1.61
05/10/2018 04.45,,1.6,,1.6
05/10/2018 05.00,,1.62,,1.62
05/10/2018 05.15,,1.55,,1.55
05/10/2018 05.30,,1.57,,1.57
05/10/2018 05.45,,1.62,,1.62
05/10/2018 06.00,,1.56,,1.56
05/10/2018 06.15,,1.42,,1.42
05/10/2018 06.30,,1.38,,1.38
05/10/2018 06.45,,1.33,,1.33
05/10/2018 07.00,,1.31,,1.31
05/10/2018 07.15,,1.27,,1.27
05/10/2018 07.30,,1.28,,1.28
05/10/2018 07.45,,1.58,,1.58
05/10/2018 08.00,,1.46,,1.46
05/10/2018 08.15,,1.34,,1.34
05/10/2018 08.30,,0.95,,0.95
05/10/2018 08.45,,0.53,,0.53
05/10/2018 09.00,,0.22,,0.22
05/10/2018 09.15,0.47,,,0.47
05/10/2018 09.30,1.04,,,1.04
05/10/2018 09.45,1.13,,,1.13
05/10/2018 10.00,0.92,,,0.92
05/10/2018 10.15,1.15,,,1.15
05/10/2018 10.30,0.55,,,0.55
05/10/2018 10.45,0.55,,,0.55
05/10/2018 11.00,0.49,,,0.49
