,RATE A,RATE B,RATE C,Total
02/06/2018 14.00,,,2.89,2.89
02/06/2018 14.15,,,2.96,2.96
02/06/2018 14.30,,,2.92,2.92
02/06/2018 14.45,,,2.96,2.96
02/06/2018 15.00,,,2.92,2.92
02/06/2018 15.15,,,2.73,2.73
02/06/2018 15.30,,,2.85,2.85
02/06/2018 15.45,,,2.88,2.88
02/06/2018 16.00,,,3.02,3.02
02/06/2018 16.15,,,3.19,3.19
02/06/2018 16.30,,,3.17,3.17
02/06/2018 16.45,,,3.12,3.12
02/06/2018 17.00,,,3.25,3.25
02/06/2018 17.15,,,3.12,3.12
02/06/2018 17.30,,,2.55,2.55
02/06/2018 17.45,,,2.1,2.1
02/06/2018 18.00,,,1.97,1.97
02/06/2018 18.15,,,1.96,1.96
02/06/2018 18.30,,,2,2
02/06/2018 18.45,,,2.04,2.04
02/06/2018 19.00,,,2.01,2.01
02/06/2018 19.15,,,1.85,1.85
02/06/2018 19.30,,,1.79,1.79
02/06/2018 19.45,,,1.78,1.78
02/06/2018 20.00,,,1.79,1.79
02/06/2018 20.15,,,1.85,1.85
02/06/2018 20.30,,,1.85,1.85
02/06/2018 20.45,,,1.8,1.8
02/06/2018 21.00,,,1.77,1.77
02/06/2018 21.15,,,1.73,1.73
02/06/2018 21.30,,,1.76,1.76
02/06/2018 21.45,,,1.79,1.79
02/06/2018 22.00,,,1.86,1.86
02/06/2018 22.15,,,1.99,1.99
02/06/2018 22.30,,,1.9,1.9
02/06/2018 22.45,,,1.98,1.98
02/06/2018 23.00,,,2.04,2.04
02/06/2018 23.15,,,2.02,2.02
02/06/2018 23.30,,,1.86,1.86
02/06/2018 23.45,,,1.83,1.83
02/06/2018 24.00,,,1.82,1.82
03/06/2018 00.15,,,1.74,1.74
03/06/2018 00.30,,,1.68,1.68
03/06/2018 00.45,,,1.71,1.71
03/06/2018 01.00,,,1.69,1.69
03/06/2018 01.15,,,1.66,1.66
03/06/2018 01.30,,,1.66,1.66
03/06/2018 01.45,,,1.67,1.67
03/06/2018 02.00,,,1.67,1.67
03/06/2018 02.15,,,1.73,1.73
03/06/2018 02.30,,,1.71,1.71
03/06/2018 02.45,,,1.63,1.63
03/06/2018 03.00,,,1.63,1.63
03/06/2018 03.15,,,1.6,1.6
03/06/2018 03.30,,,1.6,1.6
03/06/2018 03.45,,,1.65,1.65
03/06/2018 04.00,,,1.67,1.67
03/06/2018 04.15,,,1.65,1.65
03/06/2018 04.30,,,1.66,1.66
03/06/2018 04.45,,,1.82,1.82
03/06/2018 05.00,,,2.03,2.03
03/06/2018 05.15,,,2.04,2.04
03/06/2018 05.30,,,2.03,2.03
03/06/2018 05.45,,,2.44,2.44
03/06/2018 06.00,,,3.38,3.38
03/06/2018 06.15,,,13.5,13.5
03/06/2018 06.30,,,40.98,40.98
03/06/2018 06.45,,,50.87,50.87
03/06/2018 07.00,,,50.51,50.51
03/06/2018 07.15,,,49.91,49.91
03/06/2018 07.30,,,49.85,49.85
03/06/2018 07.45,,,49.71,49.71
03/06/2018 08.00,,,49.33,49.33
03/06/2018 08.15,,,49.24,49.24
03/06/2018 08.30,,,49.8,49.8
03/06/2018 08.45,,,50.56,50.56
03/06/2018 09.00,,,50.84,50.84
03/06/2018 09.15,,,51.67,51.67
03/06/2018 09.30,,,51.87,51.87
03/06/2018 09.45,,,52.54,52.54
03/06/2018 10.00,,,52.86,52.86
03/06/2018 10.15,,,58.64,58.64
03/06/2018 10.30,,,62.4,62.4
03/06/2018 10.45,,,58.6,58.6
03/06/2018 11.00,,,58.88,58.88
03/06/2018 11.15,,,59.77,59.77
03/06/2018 11.30,,,59.57,59.57
03/06/2018 11.45,,,60.01,60.01
03/06/2018 12.00,,,60.01,60.01
03/06/2018 12.15,,,60.71,60.71
03/06/2018 12.30,,,61.03,61.03
03/06/2018 12.45,,,60.14,60.14
03/06/2018 13.00,,,60.93,60.93
03/06/2018 13.15,,,60.43,60.43
03/06/2018 13.30,,,60.84,60.84
03/06/2018 13.45,,,61,61
03/06/2018 14.00,,,60.86,60.86
03/06/2018 14.15,,,60.55,60.55
03/06/2018 14.30,,,61.29,61.29
03/06/2018 14.45,,,61.31,61.31
03/06/2018 15.00,,,61.47,61.47
03/06/2018 15.15,,,60.7,60.7
03/06/2018 15.30,,,60.62,60.62
03/06/2018 15.45,,,56.84,56.84
03/06/2018 16.00,,,56.82,56.82
03/06/2018 16.15,,,56.04,56.04
03/06/2018 16.30,,,15.95,15.95
03/06/2018 16.45,,,3.74,3.74
03/06/2018 17.00,,,3.25,3.25
03/06/2018 17.15,,,3.21,3.21
03/06/2018 17.30,,,3.1,3.1
03/06/2018 17.45,,,2.96,2.96
03/06/2018 18.00,,,2.58,2.58
03/06/2018 18.15,,,2.42,2.42
03/06/2018 18.30,,,2.63,2.63
03/06/2018 18.45,,,2.74,2.74
03/06/2018 19.00,,,2.38,2.38
03/06/2018 19.15,,,2.23,2.23
03/06/2018 19.30,,,2.13,2.13
03/06/2018 19.45,,,2.05,2.05
03/06/2018 20.00,,,2.02,2.02
03/06/2018 20.15,,,2.12,2.12
03/06/2018 20.30,,,2.13,2.13
03/06/2018 20.45,,,2.09,2.09
03/06/2018 21.00,,,2.12,2.12
03/06/2018 21.15,,,2.08,2.08
03/06/2018 21.30,,,2.1,2.1
03/06/2018 21.45,,,2.14,2.14
03/06/2018 22.00,,,2.26,2.26
03/06/2018 22.15,,,2.29,2.29
03/06/2018 22.30,,,2.22,2.22
03/06/2018 22.45,,,2.17,2.17
03/06/2018 23.00,,,2.13,2.13
03/06/2018 23.15,,,2.12,2.12
03/06/2018 23.30,,,2.25,2.25
03/06/2018 23.45,,,2.48,2.48
03/06/2018 24.00,,,2.45,2.45
04/06/2018 00.15,,1.99,,1.99
04/06/2018 00.30,,1.81,,1.81
04/06/2018 00.45,,1.77,,1.77
04/06/2018 01.00,,1.71,,1.71
04/06/2018 01.15,,1.73,,1.73
04/06/2018 01.30,,1.78,,1.78
04/06/2018 01.45,,1.78,,1.78
04/06/2018 02.00,,1.75,,1.75
04/06/2018 02.15,,1.76,,1.76
04/06/2018 02.30,,1.75,,1.75
04/06/2018 02.45,,1.76,,1.76
04/06/2018 03.00,,1.81,,1.81
04/06/2018 03.15,,1.78,,1.78
04/06/2018 03.30,,1.74,,1.74
04/06/2018 03.45,,1.7,,1.7
04/06/2018 04.00,,1.7,,1.7
04/06/2018 04.15,,1.73,,1.73
04/06/2018 04.30,,1.76,,1.76
04/06/2018 04.45,,1.76,,1.76
04/06/2018 05.00,,1.74,,1.74
04/06/2018 05.15,,1.71,,1.71
04/06/2018 05.30,,1.67,,1.67
04/06/2018 05.45,,1.6,,1.6
04/06/2018 06.00,,1.51,,1.51
04/06/2018 06.15,,1.44,,1.44
04/06/2018 06.30,,1.46,,1.46
04/06/2018 06.45,,1.41,,1.41
04/06/2018 07.00,,1.43,,1.43
04/06/2018 07.15,,1.45,,1.45
04/06/2018 07.30,,1.59,,1.59
04/06/2018 07.45,,1.85,,1.85
04/06/2018 08.00,,2.1,,2.1
04/06/2018 08.15,,2.26,,2.26
04/06/2018 08.30,,2.29,,2.29
04/06/2018 08.45,,2.31,,2.31
04/06/2018 09.00,,2.33,,2.33
