,RATE A,RATE B,RATE C,Total
 01/02/2018 00.15,,1.6,,1.6
 01/02/2018 00.30,,1.57,,1.57
 01/02/2018 00.45,,1.56,,1.56
 01/02/2018 01.00,,1.57,,1.57
 01/02/2018 01.15,,1.57,,1.57
 01/02/2018 01.30,,1.6,,1.6
 01/02/2018 01.45,,1.56,,1.56
 01/02/2018 02.00,,1.56,,1.56
 01/02/2018 02.15,,1.58,,1.58
 01/02/2018 02.30,,1.59,,1.59
 01/02/2018 02.45,,1.57,,1.57
 01/02/2018 03.00,,1.58,,1.58
 01/02/2018 03.15,,1.59,,1.59
 01/02/2018 03.30,,1.56,,1.56
 01/02/2018 03.45,,1.55,,1.55
 01/02/2018 04.00,,1.55,,1.55
 01/02/2018 04.15,,1.56,,1.56
 01/02/2018 04.30,,1.52,,1.52
 01/02/2018 04.45,,1.51,,1.51
 01/02/2018 05.00,,1.54,,1.54
 01/02/2018 05.15,,1.51,,1.51
 01/02/2018 05.30,,1.53,,1.53
 01/02/2018 05.45,,1.55,,1.55
 01/02/2018 06.00,,1.51,,1.51
 01/02/2018 06.15,,1.47,,1.47
 01/02/2018 06.30,,1.53,,1.53
 01/02/2018 06.45,,1.47,,1.47
 01/02/2018 07.00,,1.34,,1.34
 01/02/2018 07.15,,1.41,,1.41
 01/02/2018 07.30,,1.46,,1.46
 01/02/2018 07.45,,1.51,,1.51
 01/02/2018 08.00,,1.54,,1.54
 01/02/2018 08.15,,1.87,,1.87
 01/02/2018 08.30,,2.03,,2.03
 01/02/2018 08.45,,2.03,,2.03
 01/02/2018 09.00,,2.08,,2.08
 01/02/2018 09.15,2.11,,,2.11
 01/02/2018 09.30,2.14,,,2.14
 01/02/2018 09.45,2.25,,,2.25
 01/02/2018 10.00,2.21,,,2.21
 01/02/2018 10.15,2.17,,,2.17
 01/02/2018 10.30,4.13,,,4.13
 01/02/2018 10.45,6,,,6
 01/02/2018 11.00,6.01,,,6.01
 01/02/2018 11.15,6.14,,,6.14
 01/02/2018 11.30,4.01,,,4.01
 01/02/2018 11.45,2.5,,,2.5
 01/02/2018 12.00,2.58,,,2.58
 01/02/2018 12.15,2.65,,,2.65
 01/02/2018 12.30,2.79,,,2.79
 01/02/2018 12.45,2.99,,,2.99
 01/02/2018 13.00,3.07,,,3.07
 01/02/2018 13.15,3.08,,,3.08
 01/02/2018 13.30,3.13,,,3.13
 01/02/2018 13.45,2.96,,,2.96
 01/02/2018 14.00,2.96,,,2.96
 01/02/2018 14.15,2.89,,,2.89
 01/02/2018 14.30,2.77,,,2.77
 01/02/2018 14.45,2.59,,,2.59
 01/02/2018 15.00,2.69,,,2.69
 01/02/2018 15.15,2.82,,,2.82
 01/02/2018 15.30,2.92,,,2.92
 01/02/2018 15.45,2.78,,,2.78
 01/02/2018 16.00,2.87,,,2.87
 01/02/2018 16.15,3.23,,,3.23
 01/02/2018 16.30,3,,,3
 01/02/2018 16.45,3.05,,,3.05
 01/02/2018 17.00,2.99,,,2.99
 01/02/2018 17.15,2.86,,,2.86
 01/02/2018 17.30,2.88,,,2.88
 01/02/2018 17.45,2.97,,,2.97
 01/02/2018 18.00,3.09,,,3.09
 01/02/2018 18.15,3.27,,,3.27
 01/02/2018 18.30,3.35,,,3.35
 01/02/2018 18.45,3.25,,,3.25
 01/02/2018 19.00,3.29,,,3.29
 01/02/2018 19.15,3.31,,,3.31
 01/02/2018 19.30,3.09,,,3.09
 01/02/2018 19.45,3.09,,,3.09
 01/02/2018 20.00,3.16,,,3.16
 01/02/2018 20.15,3.16,,,3.16
 01/02/2018 20.30,3.22,,,3.22
 01/02/2018 20.45,3.11,,,3.11
 01/02/2018 21.00,2.88,,,2.88
 01/02/2018 21.15,2.14,,,2.14
 01/02/2018 21.30,2.07,,,2.07
 01/02/2018 21.45,2.26,,,2.26
 01/02/2018 22.00,2.19,,,2.19
 01/02/2018 22.15,,2.23,,2.23
 01/02/2018 22.30,,2.2,,2.2
 01/02/2018 22.45,,2.21,,2.21
 01/02/2018 23.00,,2.19,,2.19
 01/02/2018 23.15,,2.13,,2.13
 01/02/2018 23.30,,2.13,,2.13
 01/02/2018 23.45,,1.97,,1.97
 01/02/2018 24.00,,2.03,,2.03
 02/02/2018 00.15,,2.03,,2.03
 02/02/2018 00.30,,2.05,,2.05
 02/02/2018 00.45,,2.11,,2.11
 02/02/2018 01.00,,1.96,,1.96
 02/02/2018 01.15,,1.9,,1.9
 02/02/2018 01.30,,1.85,,1.85
 02/02/2018 01.45,,1.91,,1.91
 02/02/2018 02.00,,1.84,,1.84
 02/02/2018 02.15,,1.89,,1.89
 02/02/2018 02.30,,1.85,,1.85
 02/02/2018 02.45,,1.84,,1.84
 02/02/2018 03.00,,1.84,,1.84
 02/02/2018 03.15,,1.88,,1.88
 02/02/2018 03.30,,2.01,,2.01
 02/02/2018 03.45,,2.09,,2.09
 02/02/2018 04.00,,2.26,,2.26
 02/02/2018 04.15,,2.12,,2.12
 02/02/2018 04.30,,2.14,,2.14
 02/02/2018 04.45,,2.2,,2.2
 02/02/2018 05.00,,2.15,,2.15
 02/02/2018 05.15,,2.17,,2.17
 02/02/2018 05.30,,2.18,,2.18
 02/02/2018 05.45,,2.15,,2.15
 02/02/2018 06.00,,2.11,,2.11
 02/02/2018 06.15,,2.12,,2.12
 02/02/2018 06.30,,2.13,,2.13
 02/02/2018 06.45,,2.04,,2.04
 02/02/2018 07.00,,1.99,,1.99
 02/02/2018 07.15,,1.96,,1.96
 02/02/2018 07.30,,1.94,,1.94
 02/02/2018 07.45,,1.97,,1.97
 02/02/2018 08.00,,2.22,,2.22
 02/02/2018 08.15,,2.24,,2.24
 02/02/2018 08.30,,2.48,,2.48
 02/02/2018 08.45,,2.56,,2.56
 02/02/2018 09.00,,2.51,,2.51
 02/02/2018 09.15,2.39,,,2.39
 02/02/2018 09.30,2.46,,,2.46
 02/02/2018 09.45,2.36,,,2.36
 02/02/2018 10.00,2.29,,,2.29
 02/02/2018 10.15,2.43,,,2.43
 02/02/2018 10.30,2.8,,,2.8
 02/02/2018 10.45,2.84,,,2.84
 02/02/2018 11.00,2.75,,,2.75
 02/02/2018 11.15,2.99,,,2.99
 02/02/2018 11.30,2.84,,,2.84
 02/02/2018 11.45,2.33,,,2.33
 02/02/2018 12.00,2.64,,,2.64
 02/02/2018 12.15,2.97,,,2.97
 02/02/2018 12.30,2.98,,,2.98
 02/02/2018 12.45,2.88,,,2.88
 02/02/2018 13.00,3.13,,,3.13
 02/02/2018 13.15,3.49,,,3.49
 02/02/2018 13.30,4.46,,,4.46
 02/02/2018 13.45,4.52,,,4.52
 02/02/2018 14.00,4.61,,,4.61
 02/02/2018 14.15,4.61,,,4.61
 02/02/2018 14.30,4.57,,,4.57
 02/02/2018 14.45,4.55,,,4.55
 02/02/2018 15.00,4.7,,,4.7
 02/02/2018 15.15,4.79,,,4.79
 02/02/2018 15.30,4.98,,,4.98
 02/02/2018 15.45,5.03,,,5.03
 02/02/2018 16.00,5.73,,,5.73
 02/02/2018 16.15,5.93,,,5.93
 02/02/2018 16.30,5.85,,,5.85
 02/02/2018 16.45,5.98,,,5.98
 02/02/2018 17.00,5.87,,,5.87
 02/02/2018 17.15,5.6,,,5.6
 02/02/2018 17.30,5.76,,,5.76
 02/02/2018 17.45,5.38,,,5.38
 02/02/2018 18.00,6.9,,,6.9
 02/02/2018 18.15,6.77,,,6.77
 02/02/2018 18.30,6.28,,,6.28
 02/02/2018 18.45,6.05,,,6.05
 02/02/2018 19.00,5.58,,,5.58
 02/02/2018 19.15,5.23,,,5.23
 02/02/2018 19.30,5.07,,,5.07
 02/02/2018 19.45,6.05,,,6.05
 02/02/2018 20.00,6.28,,,6.28
 02/02/2018 20.15,5.41,,,5.41
 02/02/2018 20.30,4.21,,,4.21
 02/02/2018 20.45,3.82,,,3.82
 02/02/2018 21.00,3.73,,,3.73
 02/02/2018 21.15,3.28,,,3.28
 02/02/2018 21.30,2.7,,,2.7
 02/02/2018 21.45,2.52,,,2.52
 02/02/2018 22.00,2.58,,,2.58
 02/02/2018 22.15,,2.49,,2.49
 02/02/2018 22.30,,2.52,,2.52
 02/02/2018 22.45,,2.19,,2.19
 02/02/2018 23.00,,2.19,,2.19
 02/02/2018 23.15,,2.21,,2.21
 02/02/2018 23.30,,2.19,,2.19
 02/02/2018 23.45,,2.16,,2.16
 02/02/2018 24.00,,2.19,,2.19
 03/02/2018 00.15,,,2.16,2.16
 03/02/2018 00.30,,,2.14,2.14
 03/02/2018 00.45,,,2.16,2.16
 03/02/2018 01.00,,,2.1,2.1
 03/02/2018 01.15,,,1.73,1.73
 03/02/2018 01.30,,,1.75,1.75
 03/02/2018 01.45,,,1.73,1.73
 03/02/2018 02.00,,,1.8,1.8
 03/02/2018 02.15,,,1.8,1.8
 03/02/2018 02.30,,,1.8,1.8
 03/02/2018 02.45,,,1.83,1.83
 03/02/2018 03.00,,,1.83,1.83
 03/02/2018 03.15,,,1.83,1.83
 03/02/2018 03.30,,,1.87,1.87
 03/02/2018 03.45,,,1.82,1.82
 03/02/2018 04.00,,,1.87,1.87
 03/02/2018 04.15,,,2.09,2.09
 03/02/2018 04.30,,,2.26,2.26
 03/02/2018 04.45,,,2.42,2.42
 03/02/2018 05.00,,,2.42,2.42
 03/02/2018 05.15,,,2.53,2.53
 03/02/2018 05.30,,,2.85,2.85
 03/02/2018 05.45,,,3.13,3.13
 03/02/2018 06.00,,,3.81,3.81
 03/02/2018 06.15,,,7.2,7.2
 03/02/2018 06.30,,,14.81,14.81
 03/02/2018 06.45,,,30.27,30.27
 03/02/2018 07.00,,,33.46,33.46
 03/02/2018 07.15,,,34.45,34.45
 03/02/2018 07.30,,,43.71,43.71
 03/02/2018 07.45,,,43.88,43.88
 03/02/2018 08.00,,,39.83,39.83
 03/02/2018 08.15,,,42.38,42.38
