,RATE A,RATE B,RATE C,Total
 02/04/2018 12.15,4.22,,,4.22
 02/04/2018 12.30,4.23,,,4.23
 02/04/2018 12.45,4.12,,,4.12
 02/04/2018 13.00,3.43,,,3.43
 02/04/2018 13.15,3.5,,,3.5
 02/04/2018 13.30,3.45,,,3.45
 02/04/2018 13.45,3.49,,,3.49
 02/04/2018 14.00,3.49,,,3.49
 02/04/2018 14.15,3.51,,,3.51
 02/04/2018 14.30,3.69,,,3.69
 02/04/2018 14.45,3.62,,,3.62
 02/04/2018 15.00,3.7,,,3.7
 02/04/2018 15.15,3.64,,,3.64
 02/04/2018 15.30,3.39,,,3.39
 02/04/2018 15.45,3.79,,,3.79
 02/04/2018 16.00,3.6,,,3.6
 02/04/2018 16.15,3.44,,,3.44
 02/04/2018 16.30,3.78,,,3.78
 02/04/2018 16.45,3.82,,,3.82
 02/04/2018 17.00,3.64,,,3.64
 02/04/2018 17.15,3.32,,,3.32
 02/04/2018 17.30,3.18,,,3.18
 02/04/2018 17.45,3.12,,,3.12
 02/04/2018 18.00,3.22,,,3.22
 02/04/2018 18.15,3.22,,,3.22
 02/04/2018 18.30,3.44,,,3.44
 02/04/2018 18.45,3.53,,,3.53
 02/04/2018 19.00,3.41,,,3.41
 02/04/2018 19.15,3.37,,,3.37
 02/04/2018 19.30,3.33,,,3.33
 02/04/2018 19.45,3.2,,,3.2
 02/04/2018 20.00,3.13,,,3.13
 02/04/2018 20.15,2.95,,,2.95
 02/04/2018 20.30,2.77,,,2.77
 02/04/2018 20.45,2.85,,,2.85
 02/04/2018 21.00,2.66,,,2.66
 02/04/2018 21.15,1.85,,,1.85
 02/04/2018 21.30,1.7,,,1.7
 02/04/2018 21.45,1.72,,,1.72
 02/04/2018 22.00,1.68,,,1.68
 02/04/2018 22.15,,1.7,,1.7
 02/04/2018 22.30,,1.7,,1.7
 02/04/2018 22.45,,1.72,,1.72
 02/04/2018 23.00,,1.71,,1.71
 02/04/2018 23.15,,1.71,,1.71
 02/04/2018 23.30,,1.73,,1.73
 02/04/2018 23.45,,1.68,,1.68
 02/04/2018 24.00,,1.71,,1.71
 03/04/2018 00.15,,1.57,,1.57
 03/04/2018 00.30,,1.57,,1.57
 03/04/2018 00.45,,1.57,,1.57
 03/04/2018 01.00,,1.58,,1.58
 03/04/2018 01.15,,1.6,,1.6
 03/04/2018 01.30,,1.62,,1.62
 03/04/2018 01.45,,1.61,,1.61
 03/04/2018 02.00,,1.59,,1.59
 03/04/2018 02.15,,1.59,,1.59
 03/04/2018 02.30,,1.6,,1.6
 03/04/2018 02.45,,1.64,,1.64
 03/04/2018 03.00,,1.62,,1.62
 03/04/2018 03.15,,1.55,,1.55
 03/04/2018 03.30,,1.52,,1.52
 03/04/2018 03.45,,1.53,,1.53
 03/04/2018 04.00,,1.52,,1.52
 03/04/2018 04.15,,1.55,,1.55
 03/04/2018 04.30,,1.56,,1.56
 03/04/2018 04.45,,1.55,,1.55
 03/04/2018 05.00,,1.55,,1.55
 03/04/2018 05.15,,1.54,,1.54
 03/04/2018 05.30,,1.55,,1.55
 03/04/2018 05.45,,1.53,,1.53
 03/04/2018 06.00,,1.53,,1.53
 03/04/2018 06.15,,1.47,,1.47
 03/04/2018 06.30,,1.46,,1.46
 03/04/2018 06.45,,1.47,,1.47
 03/04/2018 07.00,,1.47,,1.47
 03/04/2018 07.15,,1.49,,1.49
 03/04/2018 07.30,,1.54,,1.54
 03/04/2018 07.45,,1.54,,1.54
 03/04/2018 08.00,,1.92,,1.92
 03/04/2018 08.15,,2.84,,2.84
 03/04/2018 08.30,,3.94,,3.94
 03/04/2018 08.45,,4.27,,4.27
 03/04/2018 09.00,,4.4,,4.4
 03/04/2018 09.15,4.44,,,4.44
 03/04/2018 09.30,4.61,,,4.61
 03/04/2018 09.45,4.76,,,4.76
