,RATE A,RATE B,RATE C,Total
02/11/2018 14.00,30.62,,,30.62
02/11/2018 14.15,30.14,,,30.14
02/11/2018 14.30,30.87,,,30.87
02/11/2018 14.45,31.78,,,31.78
02/11/2018 15.00,31.47,,,31.47
02/11/2018 15.15,31.42,,,31.42
02/11/2018 15.30,32.15,,,32.15
02/11/2018 15.45,30.65,,,30.65
02/11/2018 16.00,31.34,,,31.34
02/11/2018 16.15,21.14,,,21.14
02/11/2018 16.30,6.79,,,6.79
02/11/2018 16.45,6.42,,,6.42
02/11/2018 17.00,6.24,,,6.24
02/11/2018 17.15,6.15,,,6.15
02/11/2018 17.30,6.23,,,6.23
02/11/2018 17.45,6.44,,,6.44
02/11/2018 18.00,6.25,,,6.25
02/11/2018 18.15,6.74,,,6.74
02/11/2018 18.30,7.14,,,7.14
02/11/2018 18.45,7.38,,,7.38
02/11/2018 19.00,7.26,,,7.26
02/11/2018 19.15,7.15,,,7.15
02/11/2018 19.30,7.07,,,7.07
02/11/2018 19.45,6.6,,,6.6
02/11/2018 20.00,6.62,,,6.62
02/11/2018 20.15,6.87,,,6.87
02/11/2018 20.30,6.92,,,6.92
02/11/2018 20.45,6.97,,,6.97
02/11/2018 21.00,6.52,,,6.52
02/11/2018 21.15,5.93,,,5.93
02/11/2018 21.30,5.94,,,5.94
02/11/2018 21.45,5.3,,,5.3
02/11/2018 22.00,5.35,,,5.35
02/11/2018 22.15,,5.44,,5.44
02/11/2018 22.30,,5.66,,5.66
02/11/2018 22.45,,6.25,,6.25
02/11/2018 23.00,,5.95,,5.95
02/11/2018 23.15,,5.8,,5.8
02/11/2018 23.30,,5.71,,5.71
02/11/2018 23.45,,5.43,,5.43
02/11/2018 24.00,,5.42,,5.42
03/11/2018 00.15,,,5.51,5.51
03/11/2018 00.30,,,5.46,5.46
03/11/2018 00.45,,,5.68,5.68
03/11/2018 01.00,,,5.58,5.58
03/11/2018 01.15,,,5.28,5.28
03/11/2018 01.30,,,5.16,5.16
03/11/2018 01.45,,,4.86,4.86
03/11/2018 02.00,,,5.06,5.06
03/11/2018 02.15,,,5.12,5.12
03/11/2018 02.30,,,5.18,5.18
03/11/2018 02.45,,,5.39,5.39
03/11/2018 03.00,,,5.24,5.24
03/11/2018 03.15,,,4.99,4.99
03/11/2018 03.30,,,4.96,4.96
03/11/2018 03.45,,,4.62,4.62
03/11/2018 04.00,,,4.71,4.71
03/11/2018 04.15,,,4.8,4.8
03/11/2018 04.30,,,4.91,4.91
03/11/2018 04.45,,,5.19,5.19
03/11/2018 05.00,,,5,5
03/11/2018 05.15,,,4.88,4.88
03/11/2018 05.30,,,4.74,4.74
03/11/2018 05.45,,,4.33,4.33
03/11/2018 06.00,,,4.31,4.31
03/11/2018 06.15,,,4.5,4.5
03/11/2018 06.30,,,4.72,4.72
03/11/2018 06.45,,,4.95,4.95
03/11/2018 07.00,,,4.64,4.64
03/11/2018 07.15,,,4.45,4.45
03/11/2018 07.30,,,4.6,4.6
03/11/2018 07.45,,,4.28,4.28
03/11/2018 08.00,,,5.88,5.88
03/11/2018 08.15,,,13.73,13.73
03/11/2018 08.30,,,16.42,16.42
03/11/2018 08.45,,,15.86,15.86
03/11/2018 09.00,,,15.26,15.26
03/11/2018 09.15,,,15.55,15.55
03/11/2018 09.30,,,15.91,15.91
03/11/2018 09.45,,,15.97,15.97
03/11/2018 10.00,,,16.34,16.34
03/11/2018 10.15,,,24.27,24.27
03/11/2018 10.30,,,27.8,27.8
03/11/2018 10.45,,,27.61,27.61
03/11/2018 11.00,,,27.76,27.76
03/11/2018 11.15,,,27.72,27.72
03/11/2018 11.30,,,28.23,28.23
03/11/2018 11.45,,,27.88,27.88
03/11/2018 12.00,,,28.04,28.04
03/11/2018 12.15,,,28.53,28.53
03/11/2018 12.30,,,28.95,28.95
03/11/2018 12.45,,,29.29,29.29
03/11/2018 13.00,,,29.02,29.02
03/11/2018 13.15,,,29.39,29.39
03/11/2018 13.30,,,29.3,29.3
03/11/2018 13.45,,,29.51,29.51
03/11/2018 14.00,,,29.4,29.4
03/11/2018 14.15,,,29.25,29.25
03/11/2018 14.30,,,29.24,29.24
03/11/2018 14.45,,,29.39,29.39
03/11/2018 15.00,,,30,30
03/11/2018 15.15,,,29.99,29.99
03/11/2018 15.30,,,30.35,30.35
03/11/2018 15.45,,,29.52,29.52
03/11/2018 16.00,,,29.55,29.55
03/11/2018 16.15,,,30.21,30.21
03/11/2018 16.30,,,27.71,27.71
03/11/2018 16.45,,,19.29,19.29
03/11/2018 17.00,,,19.65,19.65
03/11/2018 17.15,,,19.99,19.99
03/11/2018 17.30,,,19.79,19.79
03/11/2018 17.45,,,19.48,19.48
03/11/2018 18.00,,,19.62,19.62
03/11/2018 18.15,,,19.97,19.97
03/11/2018 18.30,,,19.72,19.72
03/11/2018 18.45,,,19.86,19.86
03/11/2018 19.00,,,17,17
03/11/2018 19.15,,,7.91,7.91
03/11/2018 19.30,,,7.83,7.83
03/11/2018 19.45,,,7.96,7.96
03/11/2018 20.00,,,7.81,7.81
03/11/2018 20.15,,,7.4,7.4
03/11/2018 20.30,,,7.12,7.12
03/11/2018 20.45,,,7.14,7.14
03/11/2018 21.00,,,7.32,7.32
03/11/2018 21.15,,,6.84,6.84
03/11/2018 21.30,,,6.86,6.86
03/11/2018 21.45,,,6.71,6.71
03/11/2018 22.00,,,6.44,6.44
03/11/2018 22.15,,,6.49,6.49
03/11/2018 22.30,,,6.52,6.52
03/11/2018 22.45,,,6.74,6.74
03/11/2018 23.00,,,6.83,6.83
03/11/2018 23.15,,,6.48,6.48
03/11/2018 23.30,,,6.37,6.37
03/11/2018 23.45,,,6.2,6.2
03/11/2018 24.00,,,5.97,5.97
04/11/2018 00.15,,,6.07,6.07
04/11/2018 00.30,,,6,6
04/11/2018 00.45,,,6.09,6.09
04/11/2018 01.00,,,6.03,6.03
04/11/2018 01.15,,,5.86,5.86
04/11/2018 01.30,,,5.72,5.72
04/11/2018 01.45,,,5.52,5.52
04/11/2018 02.00,,,5.33,5.33
04/11/2018 02.15,,,5.36,5.36
04/11/2018 02.30,,,5.37,5.37
04/11/2018 02.45,,,5.37,5.37
04/11/2018 03.00,,,5.52,5.52
04/11/2018 03.15,,,5.3,5.3
04/11/2018 03.30,,,5.3,5.3
04/11/2018 03.45,,,5.31,5.31
04/11/2018 04.00,,,5.12,5.12
04/11/2018 04.15,,,5.22,5.22
04/11/2018 04.30,,,5.14,5.14
04/11/2018 04.45,,,5.16,5.16
04/11/2018 05.00,,,5.38,5.38
04/11/2018 05.15,,,5.14,5.14
04/11/2018 05.30,,,5.09,5.09
04/11/2018 05.45,,,5.1,5.1
04/11/2018 06.00,,,4.96,4.96
04/11/2018 06.15,,,5.25,5.25
04/11/2018 06.30,,,5.32,5.32
04/11/2018 06.45,,,4.95,4.95
04/11/2018 07.00,,,4.92,4.92
04/11/2018 07.15,,,4.65,4.65
04/11/2018 07.30,,,4.6,4.6
04/11/2018 07.45,,,4.68,4.68
04/11/2018 08.00,,,8.88,8.88
04/11/2018 08.15,,,12.25,12.25
04/11/2018 08.30,,,12.57,12.57
04/11/2018 08.45,,,12.72,12.72
04/11/2018 09.00,,,15.6,15.6
04/11/2018 09.15,,,15.31,15.31
04/11/2018 09.30,,,14.7,14.7
04/11/2018 09.45,,,14.21,14.21
04/11/2018 10.00,,,14.15,14.15
04/11/2018 10.15,,,14.39,14.39
04/11/2018 10.30,,,14.57,14.57
04/11/2018 10.45,,,15.62,15.62
04/11/2018 11.00,,,15.45,15.45
04/11/2018 11.15,,,15.86,15.86
04/11/2018 11.30,,,15.74,15.74
04/11/2018 11.45,,,15.15,15.15
04/11/2018 12.00,,,15.28,15.28
04/11/2018 12.15,,,15.33,15.33
04/11/2018 12.30,,,16.56,16.56
04/11/2018 12.45,,,17.5,17.5
04/11/2018 13.00,,,17.55,17.55
04/11/2018 13.15,,,17.11,17.11
04/11/2018 13.30,,,17.04,17.04
04/11/2018 13.45,,,16.62,16.62
04/11/2018 14.00,,,16.52,16.52
04/11/2018 14.15,,,16.87,16.87
04/11/2018 14.30,,,16.98,16.98
04/11/2018 14.45,,,17.46,17.46
04/11/2018 15.00,,,17.01,17.01
04/11/2018 15.15,,,17.17,17.17
04/11/2018 15.30,,,17.58,17.58
04/11/2018 15.45,,,18.05,18.05
04/11/2018 16.00,,,18.21,18.21
04/11/2018 16.15,,,18.22,18.22
04/11/2018 16.30,,,18.66,18.66
04/11/2018 16.45,,,13.9,13.9
04/11/2018 17.00,,,5.66,5.66
04/11/2018 17.15,,,5.92,5.92
04/11/2018 17.30,,,6.07,6.07
04/11/2018 17.45,,,6.46,6.46
04/11/2018 18.00,,,6.74,6.74
04/11/2018 18.15,,,6.81,6.81
04/11/2018 18.30,,,7.26,7.26
04/11/2018 18.45,,,7.73,7.73
04/11/2018 19.00,,,7.78,7.78
04/11/2018 19.15,,,7.5,7.5
04/11/2018 19.30,,,7.04,7.04
04/11/2018 19.45,,,7.46,7.46
04/11/2018 20.00,,,7.33,7.33
04/11/2018 20.15,,,6.85,6.85
04/11/2018 20.30,,,6.26,6.26
04/11/2018 20.45,,,6.05,6.05
04/11/2018 21.00,,,6.13,6.13
04/11/2018 21.15,,,5.99,5.99
04/11/2018 21.30,,,5.99,5.99
04/11/2018 21.45,,,5.81,5.81
04/11/2018 22.00,,,5.52,5.52
04/11/2018 22.15,,,5.5,5.5
04/11/2018 22.30,,,5.67,5.67
04/11/2018 22.45,,,5.69,5.69
04/11/2018 23.00,,,5.39,5.39
04/11/2018 23.15,,,5.58,5.58
04/11/2018 23.30,,,5.58,5.58
04/11/2018 23.45,,,5.65,5.65
04/11/2018 24.00,,,5.68,5.68
05/11/2018 00.15,,5.32,,5.32
05/11/2018 00.30,,5.24,,5.24
05/11/2018 00.45,,5.07,,5.07
05/11/2018 01.00,,5.05,,5.05
05/11/2018 01.15,,5.2,,5.2
05/11/2018 01.30,,5.14,,5.14
05/11/2018 01.45,,5.17,,5.17
05/11/2018 02.00,,5.1,,5.1
05/11/2018 02.15,,4.92,,4.92
05/11/2018 02.30,,4.86,,4.86
05/11/2018 02.45,,4.89,,4.89
05/11/2018 03.00,,4.9,,4.9
05/11/2018 03.15,,5.01,,5.01
05/11/2018 03.30,,4.92,,4.92
05/11/2018 03.45,,4.94,,4.94
05/11/2018 04.00,,4.91,,4.91
05/11/2018 04.15,,4.75,,4.75
05/11/2018 04.30,,4.71,,4.71
05/11/2018 04.45,,4.76,,4.76
05/11/2018 05.00,,4.69,,4.69
05/11/2018 05.15,,4.69,,4.69
05/11/2018 05.30,,4.63,,4.63
05/11/2018 05.45,,4.63,,4.63
05/11/2018 06.00,,4.61,,4.61
05/11/2018 06.15,,4.4,,4.4
05/11/2018 06.30,,4.49,,4.49
05/11/2018 06.45,,4.65,,4.65
05/11/2018 07.00,,4.54,,4.54
05/11/2018 07.15,,4.33,,4.33
05/11/2018 07.30,,4.15,,4.15
05/11/2018 07.45,,4.28,,4.28
05/11/2018 08.00,,5.47,,5.47
05/11/2018 08.15,,31.9,,31.9
05/11/2018 08.30,,36.69,,36.69
05/11/2018 08.45,,35.15,,35.15
05/11/2018 09.00,,34.53,,34.53
05/11/2018 09.15,34.59,,,34.59
05/11/2018 09.30,34.97,,,34.97
05/11/2018 09.45,34.89,,,34.89
05/11/2018 10.00,36.29,,,36.29
05/11/2018 10.15,36.8,,,36.8
05/11/2018 10.30,37.51,,,37.51
05/11/2018 10.45,36.72,,,36.72
05/11/2018 11.00,37.92,,,37.92
05/11/2018 11.15,37.98,,,37.98
05/11/2018 11.30,37.33,,,37.33
05/11/2018 11.45,37.84,,,37.84
05/11/2018 12.00,38.62,,,38.62
05/11/2018 12.15,37.2,,,37.2
05/11/2018 12.30,36.03,,,36.03
05/11/2018 12.45,36.42,,,36.42
05/11/2018 13.00,35.98,,,35.98
05/11/2018 13.15,36.68,,,36.68
05/11/2018 13.30,36.61,,,36.61
05/11/2018 13.45,37.02,,,37.02
05/11/2018 14.00,36.59,,,36.59
05/11/2018 14.15,37.05,,,37.05
05/11/2018 14.30,37.5,,,37.5
05/11/2018 14.45,37.26,,,37.26
05/11/2018 15.00,36.75,,,36.75
05/11/2018 15.15,38.11,,,38.11
05/11/2018 15.30,37.54,,,37.54
05/11/2018 15.45,38.08,,,38.08
05/11/2018 16.00,29.26,,,29.26
05/11/2018 16.15,22.17,,,22.17
05/11/2018 16.30,22.21,,,22.21
05/11/2018 16.45,9.15,,,9.15
05/11/2018 17.00,6.63,,,6.63
05/11/2018 17.15,6.52,,,6.52
05/11/2018 17.30,6.95,,,6.95
05/11/2018 17.45,6.92,,,6.92
05/11/2018 18.00,6.88,,,6.88
05/11/2018 18.15,7.11,,,7.11
05/11/2018 18.30,6.93,,,6.93
05/11/2018 18.45,7.06,,,7.06
05/11/2018 19.00,6.88,,,6.88
05/11/2018 19.15,6.64,,,6.64
05/11/2018 19.30,6.83,,,6.83
05/11/2018 19.45,6.34,,,6.34
05/11/2018 20.00,6.32,,,6.32
05/11/2018 20.15,6.59,,,6.59
05/11/2018 20.30,6.5,,,6.5
05/11/2018 20.45,6.09,,,6.09
05/11/2018 21.00,6.08,,,6.08
05/11/2018 21.15,5.17,,,5.17
05/11/2018 21.30,5.57,,,5.57
05/11/2018 21.45,5.57,,,5.57
05/11/2018 22.00,6.09,,,6.09
05/11/2018 22.15,,6.2,,6.2
05/11/2018 22.30,,5.98,,5.98
05/11/2018 22.45,,5.99,,5.99
05/11/2018 23.00,,5.8,,5.8
05/11/2018 23.15,,5.48,,5.48
05/11/2018 23.30,,5.81,,5.81
05/11/2018 23.45,,5.75,,5.75
05/11/2018 24.00,,5.78,,5.78
06/11/2018 00.15,,5.77,,5.77
06/11/2018 00.30,,5.31,,5.31
06/11/2018 00.45,,5.3,,5.3
06/11/2018 01.00,,5.41,,5.41
06/11/2018 01.15,,5.24,,5.24
06/11/2018 01.30,,5.57,,5.57
06/11/2018 01.45,,5.39,,5.39
06/11/2018 02.00,,5.57,,5.57
06/11/2018 02.15,,5.63,,5.63
06/11/2018 02.30,,5.26,,5.26
06/11/2018 02.45,,5.2,,5.2
06/11/2018 03.00,,5.23,,5.23
06/11/2018 03.15,,4.94,,4.94
06/11/2018 03.30,,5.36,,5.36
06/11/2018 03.45,,5.19,,5.19
06/11/2018 04.00,,5.28,,5.28
06/11/2018 04.15,,5.42,,5.42
06/11/2018 04.30,,5.12,,5.12
06/11/2018 04.45,,5.07,,5.07
06/11/2018 05.00,,4.97,,4.97
06/11/2018 05.15,,4.65,,4.65
06/11/2018 05.30,,4.9,,4.9
06/11/2018 05.45,,4.73,,4.73
06/11/2018 06.00,,4.89,,4.89
06/11/2018 06.15,,5.18,,5.18
06/11/2018 06.30,,4.64,,4.64
06/11/2018 06.45,,4.26,,4.26
06/11/2018 07.00,,4.24,,4.24
06/11/2018 07.15,,4.24,,4.24
06/11/2018 07.30,,4.6,,4.6
06/11/2018 07.45,,4.35,,4.35
06/11/2018 08.00,,5.88,,5.88
06/11/2018 08.15,,28.32,,28.32
06/11/2018 08.30,,32.54,,32.54
06/11/2018 08.45,,31.77,,31.77
06/11/2018 09.00,,31.51,,31.51
06/11/2018 09.15,31.93,,,31.93
06/11/2018 09.30,31.79,,,31.79
06/11/2018 09.45,32.65,,,32.65
06/11/2018 10.00,33.87,,,33.87
06/11/2018 10.15,33.76,,,33.76
06/11/2018 10.30,34.02,,,34.02
06/11/2018 10.45,34.63,,,34.63
06/11/2018 11.00,34.83,,,34.83
06/11/2018 11.15,34.78,,,34.78
06/11/2018 11.30,34.41,,,34.41
06/11/2018 11.45,34.14,,,34.14
06/11/2018 12.00,34.25,,,34.25
06/11/2018 12.15,34.98,,,34.98
06/11/2018 12.30,35.45,,,35.45
06/11/2018 12.45,34.26,,,34.26
06/11/2018 13.00,34.37,,,34.37
06/11/2018 13.15,33.77,,,33.77
06/11/2018 13.30,34.74,,,34.74
06/11/2018 13.45,35.71,,,35.71
06/11/2018 14.00,36.02,,,36.02
06/11/2018 14.15,35.64,,,35.64
06/11/2018 14.30,35.49,,,35.49
06/11/2018 14.45,34.31,,,34.31
06/11/2018 15.00,34.83,,,34.83
06/11/2018 15.15,27.09,,,27.09
06/11/2018 15.30,16.99,,,16.99
06/11/2018 15.45,18.19,,,18.19
06/11/2018 16.00,18.33,,,18.33
06/11/2018 16.15,18.78,,,18.78
