,RATE A,RATE B,RATE C,Total
 02/12/2018 12.15,,,76.24,76.24
 02/12/2018 12.30,,,48.67,48.67
 02/12/2018 12.45,,,67.04,67.04
 02/12/2018 13.00,,,58.09,58.09
 02/12/2018 13.15,,,82.41,82.41
 02/12/2018 13.30,,,67.4,67.4
 02/12/2018 13.45,,,68.06,68.06
 02/12/2018 14.00,,,58.04,58.04
 02/12/2018 14.15,,,64.25,64.25
 02/12/2018 14.30,,,67.25,67.25
 02/12/2018 14.45,,,77.58,77.58
 02/12/2018 15.00,,,80.48,80.48
 02/12/2018 15.15,,,68.82,68.82
 02/12/2018 15.30,,,74.24,74.24
 02/12/2018 15.45,,,83.38,83.38
 02/12/2018 16.00,,,90.24,90.24
 02/12/2018 16.15,,,91.01,91.01
 02/12/2018 16.30,,,90.37,90.37
 02/12/2018 16.45,,,86.43,86.43
 02/12/2018 17.00,,,85.75,85.75
 02/12/2018 17.15,,,90.33,90.33
 02/12/2018 17.30,,,90.3,90.3
 02/12/2018 17.45,,,97.46,97.46
 02/12/2018 18.00,,,108.15,108.15
 02/12/2018 18.15,,,114.48,114.48
 02/12/2018 18.30,,,115.7,115.7
 02/12/2018 18.45,,,121.19,121.19
 02/12/2018 19.00,,,121.52,121.52
 02/12/2018 19.15,,,114.48,114.48
 02/12/2018 19.30,,,113.3,113.3
 02/12/2018 19.45,,,113.48,113.48
 02/12/2018 20.00,,,117.17,117.17
 02/12/2018 20.15,,,119.81,119.81
 02/12/2018 20.30,,,131.72,131.72
 02/12/2018 20.45,,,145.47,145.47
 02/12/2018 21.00,,,140.97,140.97
 02/12/2018 21.15,,,145.44,145.44
 02/12/2018 21.30,,,144.6,144.6
 02/12/2018 21.45,,,149.36,149.36
 02/12/2018 22.00,,,155.73,155.73
 02/12/2018 22.15,,,162.07,162.07
 02/12/2018 22.30,,,169.51,169.51
 02/12/2018 22.45,,,172.07,172.07
 02/12/2018 23.00,,,178.99,178.99
 02/12/2018 23.15,,,192.91,192.91
 02/12/2018 23.30,,,192.68,192.68
 02/12/2018 23.45,,,200.33,200.33
 02/12/2018 24.00,,,203.2,203.2
 03/12/2018 00.15,,202.54,,202.54
 03/12/2018 00.30,,205.91,,205.91
 03/12/2018 00.45,,212.42,,212.42
 03/12/2018 01.00,,217.39,,217.39
 03/12/2018 01.15,,212.7,,212.7
 03/12/2018 01.30,,213.45,,213.45
 03/12/2018 01.45,,214.37,,214.37
 03/12/2018 02.00,,213.47,,213.47
 03/12/2018 02.15,,210.66,,210.66
 03/12/2018 02.30,,210.21,,210.21
 03/12/2018 02.45,,208.2,,208.2
 03/12/2018 03.00,,206.44,,206.44
 03/12/2018 03.15,,204.33,,204.33
 03/12/2018 03.30,,204.07,,204.07
 03/12/2018 03.45,,199.41,,199.41
 03/12/2018 04.00,,197.25,,197.25
 03/12/2018 04.15,,194.84,,194.84
 03/12/2018 04.30,,193.26,,193.26
 03/12/2018 04.45,,193.86,,193.86
 03/12/2018 05.00,,190.63,,190.63
 03/12/2018 05.15,,186.94,,186.94
 03/12/2018 05.30,,182.62,,182.62
 03/12/2018 05.45,,176.18,,176.18
 03/12/2018 06.00,,173.92,,173.92
 03/12/2018 06.15,,171.76,,171.76
 03/12/2018 06.30,,166.3,,166.3
 03/12/2018 06.45,,162.05,,162.05
 03/12/2018 07.00,,156.09,,156.09
 03/12/2018 07.15,,151.36,,151.36
 03/12/2018 07.30,,141.39,,141.39
 03/12/2018 07.45,,129.89,,129.89
 03/12/2018 08.00,,122.25,,122.25
 03/12/2018 08.15,,119.85,,119.85
 03/12/2018 08.30,,117.65,,117.65
 03/12/2018 08.45,,120.51,,120.51
 03/12/2018 09.00,,108.67,,108.67
 03/12/2018 09.15,105.14,,,105.14
 03/12/2018 09.30,96.49,,,96.49
 03/12/2018 09.45,89.67,,,89.67
 03/12/2018 10.00,81.8,,,81.8
 03/12/2018 10.15,78.95,,,78.95
 03/12/2018 10.30,78.61,,,78.61
 03/12/2018 10.45,74.3,,,74.3
 03/12/2018 11.00,77.27,,,77.27
 03/12/2018 11.15,72.53,,,72.53
 03/12/2018 11.30,69.72,,,69.72
 03/12/2018 11.45,67.01,,,67.01
 03/12/2018 12.00,70.37,,,70.37
 03/12/2018 12.15,74.16,,,74.16
 03/12/2018 12.30,64.43,,,64.43
 03/12/2018 12.45,65.66,,,65.66
 03/12/2018 13.00,66.4,,,66.4
 03/12/2018 13.15,68.8,,,68.8
 03/12/2018 13.30,73.95,,,73.95
 03/12/2018 13.45,71.71,,,71.71
 03/12/2018 14.00,75.38,,,75.38
 03/12/2018 14.15,79.66,,,79.66
 03/12/2018 14.30,73.95,,,73.95
 03/12/2018 14.45,82.11,,,82.11
 03/12/2018 15.00,80.7,,,80.7
 03/12/2018 15.15,87.3,,,87.3
 03/12/2018 15.30,104.24,,,104.24
 03/12/2018 15.45,94.54,,,94.54
 03/12/2018 16.00,89.22,,,89.22
 03/12/2018 16.15,91.35,,,91.35
 03/12/2018 16.30,97.25,,,97.25
 03/12/2018 16.45,103.3,,,103.3
 03/12/2018 17.00,107.27,,,107.27
 03/12/2018 17.15,108.15,,,108.15
 03/12/2018 17.30,113.88,,,113.88
 03/12/2018 17.45,113.93,,,113.93
 03/12/2018 18.00,128.38,,,128.38
 03/12/2018 18.15,135.33,,,135.33
 03/12/2018 18.30,140.49,,,140.49
 03/12/2018 18.45,137.2,,,137.2
 03/12/2018 19.00,138.6,,,138.6
 03/12/2018 19.15,140.89,,,140.89
 03/12/2018 19.30,143.3,,,143.3
 03/12/2018 19.45,146.12,,,146.12
 03/12/2018 20.00,152.57,,,152.57
