,RATE A,RATE B,RATE C,Total
01/11/2018 00.15,,494.92,,494.92
01/11/2018 00.30,,499.89,,499.89
01/11/2018 00.45,,494.36,,494.36
01/11/2018 01.00,,484.28,,484.28
01/11/2018 01.15,,480.7,,480.7
01/11/2018 01.30,,476.78,,476.78
01/11/2018 01.45,,481.55,,481.55
01/11/2018 02.00,,488.71,,488.71
01/11/2018 02.15,,484.08,,484.08
01/11/2018 02.30,,480.68,,480.68
01/11/2018 02.45,,475.81,,475.81
01/11/2018 03.00,,466.02,,466.02
01/11/2018 03.15,,465.5,,465.5
01/11/2018 03.30,,459.52,,459.52
01/11/2018 03.45,,460.63,,460.63
01/11/2018 04.00,,460.31,,460.31
01/11/2018 04.15,,455.87,,455.87
01/11/2018 04.30,,454.92,,454.92
01/11/2018 04.45,,456.95,,456.95
01/11/2018 05.00,,449.7,,449.7
01/11/2018 05.15,,455.29,,455.29
01/11/2018 05.30,,460.95,,460.95
01/11/2018 05.45,,466.53,,466.53
01/11/2018 06.00,,477.21,,477.21
01/11/2018 06.15,,481.08,,481.08
01/11/2018 06.30,,494.73,,494.73
01/11/2018 06.45,,532.71,,532.71
01/11/2018 07.00,,566.66,,566.66
01/11/2018 07.15,,578.74,,578.74
01/11/2018 07.30,,613.48,,613.48
01/11/2018 07.45,,669.54,,669.54
01/11/2018 08.00,,726.87,,726.87
01/11/2018 08.15,,787.63,,787.63
01/11/2018 08.30,,856.3,,856.3
01/11/2018 08.45,,919.41,,919.41
01/11/2018 09.00,,941.17,,941.17
01/11/2018 09.15,945.04,,,945.04
01/11/2018 09.30,953.05,,,953.05
01/11/2018 09.45,968.31,,,968.31
01/11/2018 10.00,963.68,,,963.68
01/11/2018 10.15,958.68,,,958.68
01/11/2018 10.30,963.65,,,963.65
01/11/2018 10.45,945.91,,,945.91
01/11/2018 11.00,941.17,,,941.17
01/11/2018 11.15,926.62,,,926.62
01/11/2018 11.30,940.71,,,940.71
01/11/2018 11.45,938.34,,,938.34
01/11/2018 12.00,933.41,,,933.41
01/11/2018 12.15,919.25,,,919.25
01/11/2018 12.30,915.8,,,915.8
01/11/2018 12.45,910.25,,,910.25
01/11/2018 13.00,920.83,,,920.83
01/11/2018 13.15,936.41,,,936.41
01/11/2018 13.30,943.42,,,943.42
01/11/2018 13.45,963.36,,,963.36
01/11/2018 14.00,986.28,,,986.28
01/11/2018 14.15,991.6,,,991.6
01/11/2018 14.30,996.1,,,996.1
01/11/2018 14.45,1000.02,,,1000.02
01/11/2018 15.00,990.47,,,990.47
01/11/2018 15.15,998,,,998
01/11/2018 15.30,983.57,,,983.57
01/11/2018 15.45,961.52,,,961.52
01/11/2018 16.00,946.49,,,946.49
01/11/2018 16.15,903.93,,,903.93
01/11/2018 16.30,883.01,,,883.01
01/11/2018 16.45,828.5,,,828.5
01/11/2018 17.00,783.24,,,783.24
01/11/2018 17.15,764.84,,,764.84
01/11/2018 17.30,750.45,,,750.45
01/11/2018 17.45,732.28,,,732.28
01/11/2018 18.00,726.57,,,726.57
01/11/2018 18.15,727.26,,,727.26
01/11/2018 18.30,714.26,,,714.26
01/11/2018 18.45,682.96,,,682.96
01/11/2018 19.00,658.04,,,658.04
01/11/2018 19.15,650.12,,,650.12
01/11/2018 19.30,630.56,,,630.56
01/11/2018 19.45,610.88,,,610.88
01/11/2018 20.00,584.66,,,584.66
01/11/2018 20.15,560.43,,,560.43
01/11/2018 20.30,545.35,,,545.35
01/11/2018 20.45,536.37,,,536.37
01/11/2018 21.00,522.39,,,522.39
01/11/2018 21.15,509.63,,,509.63
01/11/2018 21.30,509.68,,,509.68
01/11/2018 21.45,504.77,,,504.77
01/11/2018 22.00,502.71,,,502.71
01/11/2018 22.15,,502.29,,502.29
01/11/2018 22.30,,501.27,,501.27
01/11/2018 22.45,,501.48,,501.48
01/11/2018 23.00,,487.97,,487.97
01/11/2018 23.15,,486.9,,486.9
01/11/2018 23.30,,489.16,,489.16
01/11/2018 23.45,,489.48,,489.48
01/11/2018 24.00,,488.15,,488.15
02/11/2018 00.15,,483.68,,483.68
02/11/2018 00.30,,476.02,,476.02
02/11/2018 00.45,,471.45,,471.45
02/11/2018 01.00,,464.97,,464.97
02/11/2018 01.15,,459.29,,459.29
02/11/2018 01.30,,465.73,,465.73
02/11/2018 01.45,,464.36,,464.36
02/11/2018 02.00,,451.86,,451.86
02/11/2018 02.15,,450.75,,450.75
02/11/2018 02.30,,449.13,,449.13
02/11/2018 02.45,,446.96,,446.96
02/11/2018 03.00,,441.29,,441.29
02/11/2018 03.15,,437.79,,437.79
02/11/2018 03.30,,432.89,,432.89
02/11/2018 03.45,,429.99,,429.99
02/11/2018 04.00,,429.86,,429.86
02/11/2018 04.15,,430.38,,430.38
02/11/2018 04.30,,428.63,,428.63
02/11/2018 04.45,,428.73,,428.73
02/11/2018 05.00,,432.12,,432.12
02/11/2018 05.15,,438.58,,438.58
02/11/2018 05.30,,447.78,,447.78
02/11/2018 05.45,,449.47,,449.47
02/11/2018 06.00,,458.04,,458.04
02/11/2018 06.15,,463.12,,463.12
02/11/2018 06.30,,478,,478
02/11/2018 06.45,,518.6,,518.6
02/11/2018 07.00,,551.46,,551.46
02/11/2018 07.15,,587.58,,587.58
02/11/2018 07.30,,627.14,,627.14
02/11/2018 07.45,,663.1,,663.1
02/11/2018 08.00,,722.84,,722.84
02/11/2018 08.15,,808.3,,808.3
02/11/2018 08.30,,844.33,,844.33
02/11/2018 08.45,,901.68,,901.68
02/11/2018 09.00,,928.81,,928.81
02/11/2018 09.15,921.34,,,921.34
02/11/2018 09.30,945.23,,,945.23
02/11/2018 09.45,945.13,,,945.13
02/11/2018 10.00,956.52,,,956.52
02/11/2018 10.15,963.36,,,963.36
02/11/2018 10.30,976.66,,,976.66
02/11/2018 10.45,980.57,,,980.57
02/11/2018 11.00,994.74,,,994.74
02/11/2018 11.15,983.76,,,983.76
02/11/2018 11.30,980.11,,,980.11
02/11/2018 11.45,985.34,,,985.34
02/11/2018 12.00,976.32,,,976.32
02/11/2018 12.15,977.24,,,977.24
02/11/2018 12.30,967.36,,,967.36
02/11/2018 12.45,981.41,,,981.41
02/11/2018 13.00,988.76,,,988.76
02/11/2018 13.15,991.4,,,991.4
02/11/2018 13.30,993.63,,,993.63
02/11/2018 13.45,1006.97,,,1006.97
02/11/2018 14.00,1003.9,,,1003.9
02/11/2018 14.15,997.02,,,997.02
02/11/2018 14.30,997.26,,,997.26
02/11/2018 14.45,982.86,,,982.86
02/11/2018 15.00,984.1,,,984.1
02/11/2018 15.15,981.7,,,981.7
02/11/2018 15.30,968.39,,,968.39
02/11/2018 15.45,943.63,,,943.63
02/11/2018 16.00,929.96,,,929.96
02/11/2018 16.15,885.85,,,885.85
02/11/2018 16.30,855.46,,,855.46
02/11/2018 16.45,805.06,,,805.06
02/11/2018 17.00,769.68,,,769.68
02/11/2018 17.15,745.9,,,745.9
02/11/2018 17.30,715.05,,,715.05
02/11/2018 17.45,696.04,,,696.04
02/11/2018 18.00,699.87,,,699.87
02/11/2018 18.15,681.73,,,681.73
02/11/2018 18.30,667.2,,,667.2
02/11/2018 18.45,654.72,,,654.72
02/11/2018 19.00,639.41,,,639.41
02/11/2018 19.15,622.28,,,622.28
02/11/2018 19.30,597.78,,,597.78
02/11/2018 19.45,580.22,,,580.22
02/11/2018 20.00,559.59,,,559.59
02/11/2018 20.15,549.59,,,549.59
02/11/2018 20.30,537.42,,,537.42
02/11/2018 20.45,523.01,,,523.01
02/11/2018 21.00,513.42,,,513.42
02/11/2018 21.15,509.34,,,509.34
02/11/2018 21.30,510.79,,,510.79
02/11/2018 21.45,508.26,,,508.26
02/11/2018 22.00,498.81,,,498.81
02/11/2018 22.15,,501.97,,501.97
02/11/2018 22.30,,499.79,,499.79
02/11/2018 22.45,,495.48,,495.48
02/11/2018 23.00,,483.13,,483.13
02/11/2018 23.15,,489.81,,489.81
02/11/2018 23.30,,487.15,,487.15
02/11/2018 23.45,,478.99,,478.99
02/11/2018 24.00,,469.62,,469.62
03/11/2018 00.15,,,465.7,465.7
03/11/2018 00.30,,,471.78,471.78
03/11/2018 00.45,,,464.71,464.71
03/11/2018 01.00,,,457.2,457.2
03/11/2018 01.15,,,449.2,449.2
03/11/2018 01.30,,,449.36,449.36
03/11/2018 01.45,,,449.37,449.37
03/11/2018 02.00,,,442.94,442.94
03/11/2018 02.15,,,444.73,444.73
03/11/2018 02.30,,,449.36,449.36
03/11/2018 02.45,,,449.65,449.65
03/11/2018 03.00,,,440.42,440.42
03/11/2018 03.15,,,438.18,438.18
03/11/2018 03.30,,,434.76,434.76
03/11/2018 03.45,,,428.2,428.2
03/11/2018 04.00,,,429.18,429.18
03/11/2018 04.15,,,436.15,436.15
03/11/2018 04.30,,,438.92,438.92
03/11/2018 04.45,,,435.42,435.42
03/11/2018 05.00,,,428.68,428.68
03/11/2018 05.15,,,431.44,431.44
