,RATE A,RATE B,RATE C,Total
02/05/2018 12.45,1054.03,,,1054.03
02/05/2018 13.00,1042.59,,,1042.59
02/05/2018 13.15,1022.29,,,1022.29
02/05/2018 13.30,952.57,,,952.57
02/05/2018 13.45,927.52,,,927.52
02/05/2018 14.00,962.6,,,962.6
02/05/2018 14.15,1002.45,,,1002.45
02/05/2018 14.30,1021.21,,,1021.21
02/05/2018 14.45,1039.92,,,1039.92
02/05/2018 15.00,1025.84,,,1025.84
02/05/2018 15.15,1030.6,,,1030.6
02/05/2018 15.30,1036.84,,,1036.84
02/05/2018 15.45,1042.16,,,1042.16
02/05/2018 16.00,1016.52,,,1016.52
02/05/2018 16.15,980.15,,,980.15
02/05/2018 16.30,915.64,,,915.64
02/05/2018 16.45,881.94,,,881.94
02/05/2018 17.00,844.93,,,844.93
02/05/2018 17.15,815.93,,,815.93
02/05/2018 17.30,784.1,,,784.1
02/05/2018 17.45,778.32,,,778.32
02/05/2018 18.00,761.94,,,761.94
02/05/2018 18.15,760.4,,,760.4
02/05/2018 18.30,763.03,,,763.03
02/05/2018 18.45,758.84,,,758.84
02/05/2018 19.00,739.76,,,739.76
02/05/2018 19.15,703.37,,,703.37
02/05/2018 19.30,682.25,,,682.25
02/05/2018 19.45,658.84,,,658.84
02/05/2018 20.00,632.41,,,632.41
02/05/2018 20.15,588.66,,,588.66
02/05/2018 20.30,575.83,,,575.83
02/05/2018 20.45,554.25,,,554.25
02/05/2018 21.00,535.63,,,535.63
02/05/2018 21.15,527.19,,,527.19
02/05/2018 21.30,521.84,,,521.84
02/05/2018 21.45,517.79,,,517.79
02/05/2018 22.00,515.52,,,515.52
02/05/2018 22.15,,514.35,,514.35
02/05/2018 22.30,,514.76,,514.76
02/05/2018 22.45,,506.6,,506.6
02/05/2018 23.00,,504.05,,504.05
02/05/2018 23.15,,503.73,,503.73
02/05/2018 23.30,,507.45,,507.45
02/05/2018 23.45,,509.77,,509.77
02/05/2018 24.00,,499.84,,499.84
03/05/2018 00.15,,493.84,,493.84
03/05/2018 00.30,,489.29,,489.29
03/05/2018 00.45,,492.42,,492.42
03/05/2018 01.00,,484.23,,484.23
03/05/2018 01.15,,482.74,,482.74
03/05/2018 01.30,,474.24,,474.24
03/05/2018 01.45,,478.36,,478.36
03/05/2018 02.00,,472.61,,472.61
03/05/2018 02.15,,470.53,,470.53
03/05/2018 02.30,,470.53,,470.53
03/05/2018 02.45,,467.57,,467.57
03/05/2018 03.00,,465.21,,465.21
03/05/2018 03.15,,464.62,,464.62
03/05/2018 03.30,,456.41,,456.41
03/05/2018 03.45,,463.7,,463.7
03/05/2018 04.00,,459.42,,459.42
03/05/2018 04.15,,462.81,,462.81
03/05/2018 04.30,,459.23,,459.23
03/05/2018 04.45,,461.91,,461.91
03/05/2018 05.00,,460.33,,460.33
03/05/2018 05.15,,461.12,,461.12
03/05/2018 05.30,,464.21,,464.21
03/05/2018 05.45,,474.81,,474.81
03/05/2018 06.00,,485.78,,485.78
03/05/2018 06.15,,519.87,,519.87
03/05/2018 06.30,,529.89,,529.89
03/05/2018 06.45,,541.64,,541.64
03/05/2018 07.00,,578.06,,578.06
03/05/2018 07.15,,638.27,,638.27
03/05/2018 07.30,,695.91,,695.91
03/05/2018 07.45,,763.16,,763.16
03/05/2018 08.00,,822.17,,822.17
03/05/2018 08.15,,889.3,,889.3
03/05/2018 08.30,,949.12,,949.12
03/05/2018 08.45,,982.42,,982.42
03/05/2018 09.00,,1023.85,,1023.85
03/05/2018 09.15,1062.21,,,1062.21
03/05/2018 09.30,1069.09,,,1069.09
03/05/2018 09.45,1109.53,,,1109.53
03/05/2018 10.00,1057.35,,,1057.35
03/05/2018 10.15,1106.01,,,1106.01
03/05/2018 10.30,1134.8,,,1134.8
03/05/2018 10.45,1111.82,,,1111.82
03/05/2018 11.00,1086.25,,,1086.25
03/05/2018 11.15,1060.38,,,1060.38
03/05/2018 11.30,1120.59,,,1120.59
03/05/2018 11.45,1110.62,,,1110.62
03/05/2018 12.00,1078.04,,,1078.04
03/05/2018 12.15,1086.37,,,1086.37
03/05/2018 12.30,1052.87,,,1052.87
03/05/2018 12.45,1080.66,,,1080.66
03/05/2018 13.00,1060.3,,,1060.3
03/05/2018 13.15,1046.64,,,1046.64
03/05/2018 13.30,1028.6,,,1028.6
03/05/2018 13.45,1041.98,,,1041.98
03/05/2018 14.00,1055.85,,,1055.85
03/05/2018 14.15,1040.8,,,1040.8
03/05/2018 14.30,1078.46,,,1078.46
03/05/2018 14.45,1075.04,,,1075.04
03/05/2018 15.00,1064.75,,,1064.75
03/05/2018 15.15,1063.01,,,1063.01
03/05/2018 15.30,1062.09,,,1062.09
03/05/2018 15.45,1034.93,,,1034.93
03/05/2018 16.00,1011.21,,,1011.21
03/05/2018 16.15,988.45,,,988.45
03/05/2018 16.30,941.83,,,941.83
03/05/2018 16.45,881.77,,,881.77
03/05/2018 17.00,857.25,,,857.25
03/05/2018 17.15,817.46,,,817.46
03/05/2018 17.30,788.08,,,788.08
03/05/2018 17.45,772.82,,,772.82
03/05/2018 18.00,765.79,,,765.79
03/05/2018 18.15,754.73,,,754.73
03/05/2018 18.30,750.39,,,750.39
03/05/2018 18.45,735.1,,,735.1
03/05/2018 19.00,717.18,,,717.18
03/05/2018 19.15,688.65,,,688.65
03/05/2018 19.30,675.38,,,675.38
03/05/2018 19.45,656.12,,,656.12
03/05/2018 20.00,641.27,,,641.27
03/05/2018 20.15,613.2,,,613.2
03/05/2018 20.30,601.03,,,601.03
03/05/2018 20.45,579.41,,,579.41
03/05/2018 21.00,567.98,,,567.98
03/05/2018 21.15,562.46,,,562.46
03/05/2018 21.30,551.88,,,551.88
03/05/2018 21.45,541.43,,,541.43
03/05/2018 22.00,537.26,,,537.26
03/05/2018 22.15,,532.8,,532.8
03/05/2018 22.30,,529.97,,529.97
03/05/2018 22.45,,525.6,,525.6
03/05/2018 23.00,,522.48,,522.48
03/05/2018 23.15,,514.24,,514.24
03/05/2018 23.30,,511.56,,511.56
03/05/2018 23.45,,509.03,,509.03
03/05/2018 24.00,,503.37,,503.37
04/05/2018 00.15,,500.84,,500.84
04/05/2018 00.30,,496.94,,496.94
04/05/2018 00.45,,497.56,,497.56
04/05/2018 01.00,,493.66,,493.66
04/05/2018 01.15,,492.63,,492.63
04/05/2018 01.30,,485.76,,485.76
04/05/2018 01.45,,483.19,,483.19
04/05/2018 02.00,,475.91,,475.91
04/05/2018 02.15,,480.18,,480.18
04/05/2018 02.30,,474.99,,474.99
04/05/2018 02.45,,469.05,,469.05
04/05/2018 03.00,,464.41,,464.41
04/05/2018 03.15,,467.99,,467.99
04/05/2018 03.30,,467.36,,467.36
04/05/2018 03.45,,464.66,,464.66
04/05/2018 04.00,,470.47,,470.47
04/05/2018 04.15,,462.37,,462.37
04/05/2018 04.30,,463.23,,463.23
04/05/2018 04.45,,462.6,,462.6
04/05/2018 05.00,,461.1,,461.1
04/05/2018 05.15,,466.07,,466.07
04/05/2018 05.30,,480.65,,480.65
04/05/2018 05.45,,489.58,,489.58
04/05/2018 06.00,,500.44,,500.44
04/05/2018 06.15,,522.42,,522.42
04/05/2018 06.30,,541.93,,541.93
04/05/2018 06.45,,560.51,,560.51
04/05/2018 07.00,,593.24,,593.24
04/05/2018 07.15,,633.99,,633.99
04/05/2018 07.30,,676.71,,676.71
04/05/2018 07.45,,749,,749
04/05/2018 08.00,,817.58,,817.58
04/05/2018 08.15,,934.09,,934.09
04/05/2018 08.30,,1004.47,,1004.47
04/05/2018 08.45,,1042.4,,1042.4
04/05/2018 09.00,,1062,,1062
04/05/2018 09.15,1052.59,,,1052.59
04/05/2018 09.30,1058.5,,,1058.5
04/05/2018 09.45,1070.42,,,1070.42
04/05/2018 10.00,1037.48,,,1037.48
04/05/2018 10.15,1030.06,,,1030.06
04/05/2018 10.30,1036.24,,,1036.24
04/05/2018 10.45,1003.37,,,1003.37
04/05/2018 11.00,1018.77,,,1018.77
04/05/2018 11.15,1061.08,,,1061.08
04/05/2018 11.30,1018.84,,,1018.84
04/05/2018 11.45,1050.13,,,1050.13
04/05/2018 12.00,1062.96,,,1062.96
04/05/2018 12.15,1050.03,,,1050.03
04/05/2018 12.30,1040.16,,,1040.16
04/05/2018 12.45,1115.61,,,1115.61
04/05/2018 13.00,1158.2,,,1158.2
04/05/2018 13.15,1121.91,,,1121.91
04/05/2018 13.30,1130.7,,,1130.7
04/05/2018 13.45,1215.47,,,1215.47
04/05/2018 14.00,1212.21,,,1212.21
04/05/2018 14.15,1158.23,,,1158.23
04/05/2018 14.30,1132.77,,,1132.77
04/05/2018 14.45,1093.38,,,1093.38
04/05/2018 15.00,1080.53,,,1080.53
04/05/2018 15.15,1062.93,,,1062.93
04/05/2018 15.30,1045.4,,,1045.4
04/05/2018 15.45,1027.01,,,1027.01
04/05/2018 16.00,987.63,,,987.63
04/05/2018 16.15,938.68,,,938.68
04/05/2018 16.30,904.33,,,904.33
04/05/2018 16.45,828.82,,,828.82
04/05/2018 17.00,796.32,,,796.32
04/05/2018 17.15,771.1,,,771.1
04/05/2018 17.30,738.21,,,738.21
04/05/2018 17.45,726.49,,,726.49
04/05/2018 18.00,717.24,,,717.24
04/05/2018 18.15,703.62,,,703.62
04/05/2018 18.30,708.55,,,708.55
04/05/2018 18.45,701.34,,,701.34
04/05/2018 19.00,682.57,,,682.57
04/05/2018 19.15,668.49,,,668.49
04/05/2018 19.30,657.15,,,657.15
04/05/2018 19.45,622.11,,,622.11
04/05/2018 20.00,607.67,,,607.67
04/05/2018 20.15,585.62,,,585.62
04/05/2018 20.30,570.27,,,570.27
04/05/2018 20.45,556.87,,,556.87
04/05/2018 21.00,535.69,,,535.69
04/05/2018 21.15,535.27,,,535.27
04/05/2018 21.30,537.32,,,537.32
04/05/2018 21.45,534.74,,,534.74
04/05/2018 22.00,531.21,,,531.21
04/05/2018 22.15,,522.74,,522.74
04/05/2018 22.30,,522.05,,522.05
04/05/2018 22.45,,516.53,,516.53
04/05/2018 23.00,,512.35,,512.35
04/05/2018 23.15,,501.29,,501.29
04/05/2018 23.30,,509.97,,509.97
04/05/2018 23.45,,503.13,,503.13
04/05/2018 24.00,,499.61,,499.61
05/05/2018 00.15,,,493.1,493.1
05/05/2018 00.30,,,490.24,490.24
05/05/2018 00.45,,,490.81,490.81
05/05/2018 01.00,,,482.1,482.1
05/05/2018 01.15,,,482.89,482.89
05/05/2018 01.30,,,478.05,478.05
05/05/2018 01.45,,,468.45,468.45
05/05/2018 02.00,,,469.62,469.62
05/05/2018 02.15,,,462.91,462.91
05/05/2018 02.30,,,465.45,465.45
05/05/2018 02.45,,,453.58,453.58
05/05/2018 03.00,,,455.16,455.16
05/05/2018 03.15,,,456.52,456.52
05/05/2018 03.30,,,450.5,450.5
05/05/2018 03.45,,,442.92,442.92
05/05/2018 04.00,,,447.65,447.65
05/05/2018 04.15,,,446.21,446.21
05/05/2018 04.30,,,444.42,444.42
