,RATE A,RATE B,RATE C,Total
02/04/2018 13.45,1110.28,,,1110.28
02/04/2018 14.00,1137.75,,,1137.75
02/04/2018 14.15,1160.8,,,1160.8
02/04/2018 14.30,1161.36,,,1161.36
02/04/2018 14.45,1146.12,,,1146.12
02/04/2018 15.00,1125.38,,,1125.38
02/04/2018 15.15,1131.46,,,1131.46
02/04/2018 15.30,1128.86,,,1128.86
02/04/2018 15.45,1123.73,,,1123.73
02/04/2018 16.00,1116.48,,,1116.48
02/04/2018 16.15,1074.25,,,1074.25
02/04/2018 16.30,1038.56,,,1038.56
02/04/2018 16.45,989.6,,,989.6
02/04/2018 17.00,947.73,,,947.73
02/04/2018 17.15,907.46,,,907.46
02/04/2018 17.30,872.36,,,872.36
02/04/2018 17.45,855.36,,,855.36
02/04/2018 18.00,829.72,,,829.72
02/04/2018 18.15,822.19,,,822.19
02/04/2018 18.30,818.19,,,818.19
02/04/2018 18.45,799.05,,,799.05
02/04/2018 19.00,775.11,,,775.11
02/04/2018 19.15,764.44,,,764.44
02/04/2018 19.30,736.05,,,736.05
02/04/2018 19.45,702.31,,,702.31
02/04/2018 20.00,676.54,,,676.54
02/04/2018 20.15,634.38,,,634.38
02/04/2018 20.30,612.3,,,612.3
02/04/2018 20.45,579.59,,,579.59
02/04/2018 21.00,565.06,,,565.06
02/04/2018 21.15,552.53,,,552.53
02/04/2018 21.30,538.63,,,538.63
02/04/2018 21.45,535.69,,,535.69
02/04/2018 22.00,524.69,,,524.69
02/04/2018 22.15,,522.45,,522.45
02/04/2018 22.30,,519.53,,519.53
02/04/2018 22.45,,511.94,,511.94
02/04/2018 23.00,,506.44,,506.44
02/04/2018 23.15,,502.37,,502.37
02/04/2018 23.30,,500.63,,500.63
02/04/2018 23.45,,503.87,,503.87
02/04/2018 24.00,,506.21,,506.21
03/04/2018 00.15,,501.66,,501.66
03/04/2018 00.30,,494.86,,494.86
03/04/2018 00.45,,486.95,,486.95
03/04/2018 01.00,,478.5,,478.5
03/04/2018 01.15,,475.76,,475.76
03/04/2018 01.30,,471.86,,471.86
03/04/2018 01.45,,470.26,,470.26
03/04/2018 02.00,,464.95,,464.95
03/04/2018 02.15,,467.73,,467.73
03/04/2018 02.30,,461.23,,461.23
03/04/2018 02.45,,459.1,,459.1
03/04/2018 03.00,,457.99,,457.99
03/04/2018 03.15,,457.31,,457.31
03/04/2018 03.30,,454.79,,454.79
03/04/2018 03.45,,454.68,,454.68
03/04/2018 04.00,,451.73,,451.73
03/04/2018 04.15,,458.92,,458.92
03/04/2018 04.30,,453.57,,453.57
03/04/2018 04.45,,453.6,,453.6
03/04/2018 05.00,,456.71,,456.71
03/04/2018 05.15,,464.53,,464.53
03/04/2018 05.30,,472.68,,472.68
03/04/2018 05.45,,483.31,,483.31
03/04/2018 06.00,,489.05,,489.05
03/04/2018 06.15,,507.56,,507.56
03/04/2018 06.30,,516.21,,516.21
03/04/2018 06.45,,513.14,,513.14
03/04/2018 07.00,,564.56,,564.56
03/04/2018 07.15,,605.57,,605.57
03/04/2018 07.30,,653.54,,653.54
03/04/2018 07.45,,732.7,,732.7
03/04/2018 08.00,,801.45,,801.45
03/04/2018 08.15,,890.7,,890.7
03/04/2018 08.30,,965.57,,965.57
03/04/2018 08.45,,994.48,,994.48
03/04/2018 09.00,,1061.93,,1061.93
03/04/2018 09.15,1065.08,,,1065.08
03/04/2018 09.30,1080.91,,,1080.91
03/04/2018 09.45,1072.14,,,1072.14
03/04/2018 10.00,1039.4,,,1039.4
03/04/2018 10.15,1071.9,,,1071.9
03/04/2018 10.30,1048.79,,,1048.79
03/04/2018 10.45,1059.84,,,1059.84
03/04/2018 11.00,1058.46,,,1058.46
03/04/2018 11.15,1075.12,,,1075.12
03/04/2018 11.30,1090.93,,,1090.93
03/04/2018 11.45,1068.88,,,1068.88
03/04/2018 12.00,1078.77,,,1078.77
03/04/2018 12.15,1069.17,,,1069.17
03/04/2018 12.30,1066,,,1066
03/04/2018 12.45,1101.91,,,1101.91
03/04/2018 13.00,1081.83,,,1081.83
03/04/2018 13.15,1124.49,,,1124.49
03/04/2018 13.30,1160.09,,,1160.09
03/04/2018 13.45,1168.14,,,1168.14
03/04/2018 14.00,1186.92,,,1186.92
03/04/2018 14.15,1168.65,,,1168.65
03/04/2018 14.30,1188.39,,,1188.39
03/04/2018 14.45,1214.26,,,1214.26
03/04/2018 15.00,1175.7,,,1175.7
03/04/2018 15.15,1140.98,,,1140.98
03/04/2018 15.30,1148.49,,,1148.49
03/04/2018 15.45,1154.25,,,1154.25
03/04/2018 16.00,1138.31,,,1138.31
03/04/2018 16.15,1091.7,,,1091.7
03/04/2018 16.30,1033.87,,,1033.87
03/04/2018 16.45,959.07,,,959.07
03/04/2018 17.00,919.6,,,919.6
03/04/2018 17.15,899.83,,,899.83
03/04/2018 17.30,883.07,,,883.07
03/04/2018 17.45,856.51,,,856.51
03/04/2018 18.00,838.74,,,838.74
03/04/2018 18.15,814.43,,,814.43
03/04/2018 18.30,812.03,,,812.03
03/04/2018 18.45,795.03,,,795.03
03/04/2018 19.00,763.31,,,763.31
03/04/2018 19.15,743.19,,,743.19
03/04/2018 19.30,730.18,,,730.18
03/04/2018 19.45,711.83,,,711.83
03/04/2018 20.00,692.33,,,692.33
03/04/2018 20.15,648.59,,,648.59
03/04/2018 20.30,624.12,,,624.12
03/04/2018 20.45,598.53,,,598.53
03/04/2018 21.00,585.91,,,585.91
03/04/2018 21.15,577.54,,,577.54
03/04/2018 21.30,574.09,,,574.09
03/04/2018 21.45,561.56,,,561.56
03/04/2018 22.00,556.43,,,556.43
03/04/2018 22.15,,553.95,,553.95
03/04/2018 22.30,,551.96,,551.96
03/04/2018 22.45,,544.82,,544.82
03/04/2018 23.00,,544.55,,544.55
03/04/2018 23.15,,541.18,,541.18
03/04/2018 23.30,,544.17,,544.17
03/04/2018 23.45,,539.61,,539.61
03/04/2018 24.00,,532.85,,532.85
04/04/2018 00.15,,533.66,,533.66
04/04/2018 00.30,,531.53,,531.53
04/04/2018 00.45,,527.58,,527.58
04/04/2018 01.00,,522.24,,522.24
04/04/2018 01.15,,517.58,,517.58
04/04/2018 01.30,,521.11,,521.11
04/04/2018 01.45,,516.35,,516.35
04/04/2018 02.00,,515.77,,515.77
04/04/2018 02.15,,508.26,,508.26
04/04/2018 02.30,,505.39,,505.39
04/04/2018 02.45,,500.44,,500.44
04/04/2018 03.00,,503,,503
04/04/2018 03.15,,501.32,,501.32
04/04/2018 03.30,,498.9,,498.9
04/04/2018 03.45,,496.95,,496.95
04/04/2018 04.00,,492,,492
04/04/2018 04.15,,499.52,,499.52
04/04/2018 04.30,,494.84,,494.84
04/04/2018 04.45,,497.13,,497.13
04/04/2018 05.00,,491.07,,491.07
04/04/2018 05.15,,500.84,,500.84
