,RATE A,RATE B,RATE C,Total
02/02/2018 14.00,900.27,,,900.27
02/02/2018 14.15,873.75,,,873.75
02/02/2018 14.30,892.28,,,892.28
02/02/2018 14.45,891.28,,,891.28
02/02/2018 15.00,889.01,,,889.01
02/02/2018 15.15,878.35,,,878.35
02/02/2018 15.30,853.51,,,853.51
02/02/2018 15.45,822.08,,,822.08
02/02/2018 16.00,815.22,,,815.22
02/02/2018 16.15,816.69,,,816.69
02/02/2018 16.30,783.24,,,783.24
02/02/2018 16.45,736.4,,,736.4
02/02/2018 17.00,705.81,,,705.81
02/02/2018 17.15,678.44,,,678.44
02/02/2018 17.30,652.8,,,652.8
02/02/2018 17.45,640.28,,,640.28
02/02/2018 18.00,633.8,,,633.8
02/02/2018 18.15,636.52,,,636.52
02/02/2018 18.30,624.35,,,624.35
02/02/2018 18.45,608.7,,,608.7
02/02/2018 19.00,602.57,,,602.57
02/02/2018 19.15,597.43,,,597.43
02/02/2018 19.30,571,,,571
02/02/2018 19.45,547.5,,,547.5
02/02/2018 20.00,525.13,,,525.13
02/02/2018 20.15,506.06,,,506.06
02/02/2018 20.30,493.65,,,493.65
02/02/2018 20.45,484.87,,,484.87
02/02/2018 21.00,470.13,,,470.13
02/02/2018 21.15,467.68,,,467.68
02/02/2018 21.30,464.91,,,464.91
02/02/2018 21.45,418.88,,,418.88
02/02/2018 22.00,420.36,,,420.36
02/02/2018 22.15,,420.2,,420.2
02/02/2018 22.30,,421.26,,421.26
02/02/2018 22.45,,416.05,,416.05
02/02/2018 23.00,,418.63,,418.63
02/02/2018 23.15,,503.74,,503.74
02/02/2018 23.30,,538.4,,538.4
02/02/2018 23.45,,475.23,,475.23
02/02/2018 24.00,,456.29,,456.29
03/02/2018 00.15,,,450.49,450.49
03/02/2018 00.30,,,446.44,446.44
03/02/2018 00.45,,,447.84,447.84
03/02/2018 01.00,,,442.68,442.68
03/02/2018 01.15,,,443.75,443.75
03/02/2018 01.30,,,438.23,438.23
03/02/2018 01.45,,,435.31,435.31
03/02/2018 02.00,,,433.1,433.1
03/02/2018 02.15,,,426.71,426.71
03/02/2018 02.30,,,425.67,425.67
03/02/2018 02.45,,,425.55,425.55
03/02/2018 03.00,,,424.7,424.7
03/02/2018 03.15,,,429.5,429.5
03/02/2018 03.30,,,427.89,427.89
03/02/2018 03.45,,,428.26,428.26
03/02/2018 04.00,,,424.17,424.17
03/02/2018 04.15,,,427.12,427.12
03/02/2018 04.30,,,425.1,425.1
03/02/2018 04.45,,,423.52,423.52
03/02/2018 05.00,,,426.01,426.01
03/02/2018 05.15,,,430.97,430.97
03/02/2018 05.30,,,434.36,434.36
03/02/2018 05.45,,,436.79,436.79
03/02/2018 06.00,,,430.59,430.59
03/02/2018 06.15,,,453.28,453.28
03/02/2018 06.30,,,457.6,457.6
03/02/2018 06.45,,,451.28,451.28
03/02/2018 07.00,,,461.04,461.04
03/02/2018 07.15,,,468.37,468.37
03/02/2018 07.30,,,476.26,476.26
03/02/2018 07.45,,,484.02,484.02
03/02/2018 08.00,,,502.26,502.26
03/02/2018 08.15,,,520.85,520.85
03/02/2018 08.30,,,534.95,534.95
03/02/2018 08.45,,,546.59,546.59
03/02/2018 09.00,,,553.29,553.29
03/02/2018 09.15,,,562.67,562.67
03/02/2018 09.30,,,561.17,561.17
03/02/2018 09.45,,,555.21,555.21
03/02/2018 10.00,,,577.96,577.96
03/02/2018 10.15,,,568.32,568.32
03/02/2018 10.30,,,551.63,551.63
03/02/2018 10.45,,,513.05,513.05
03/02/2018 11.00,,,523.97,523.97
03/02/2018 11.15,,,522.45,522.45
03/02/2018 11.30,,,518.34,518.34
03/02/2018 11.45,,,488.21,488.21
03/02/2018 12.00,,,483.82,483.82
03/02/2018 12.15,,,522.87,522.87
03/02/2018 12.30,,,522.89,522.89
03/02/2018 12.45,,,524.03,524.03
03/02/2018 13.00,,,523.48,523.48
03/02/2018 13.15,,,498.53,498.53
03/02/2018 13.30,,,471.32,471.32
03/02/2018 13.45,,,478.61,478.61
03/02/2018 14.00,,,505.21,505.21
03/02/2018 14.15,,,514,514
03/02/2018 14.30,,,491.68,491.68
03/02/2018 14.45,,,460.83,460.83
