,RATE A,RATE B,RATE C,Total
01/10/2018 00.15,,541.22,,541.22
01/10/2018 00.30,,542.05,,542.05
01/10/2018 00.45,,543.42,,543.42
01/10/2018 01.00,,533.8,,533.8
01/10/2018 01.15,,523.06,,523.06
01/10/2018 01.30,,521.42,,521.42
01/10/2018 01.45,,514.76,,514.76
01/10/2018 02.00,,512.19,,512.19
01/10/2018 02.15,,509.89,,509.89
01/10/2018 02.30,,507.66,,507.66
01/10/2018 02.45,,505.53,,505.53
01/10/2018 03.00,,505.56,,505.56
01/10/2018 03.15,,505.95,,505.95
01/10/2018 03.30,,507.44,,507.44
01/10/2018 03.45,,499.76,,499.76
01/10/2018 04.00,,500.05,,500.05
01/10/2018 04.15,,502.19,,502.19
01/10/2018 04.30,,490.37,,490.37
01/10/2018 04.45,,489.68,,489.68
01/10/2018 05.00,,491.47,,491.47
01/10/2018 05.15,,495.63,,495.63
01/10/2018 05.30,,503.06,,503.06
01/10/2018 05.45,,519.22,,519.22
01/10/2018 06.00,,527.72,,527.72
01/10/2018 06.15,,530.5,,530.5
01/10/2018 06.30,,553.67,,553.67
01/10/2018 06.45,,611.41,,611.41
01/10/2018 07.00,,636.78,,636.78
01/10/2018 07.15,,671.6,,671.6
01/10/2018 07.30,,708.68,,708.68
01/10/2018 07.45,,809.46,,809.46
01/10/2018 08.00,,899.09,,899.09
01/10/2018 08.15,,991.49,,991.49
01/10/2018 08.30,,1072.53,,1072.53
01/10/2018 08.45,,1115.88,,1115.88
01/10/2018 09.00,,1149.06,,1149.06
01/10/2018 09.15,1172.17,,,1172.17
01/10/2018 09.30,1161.75,,,1161.75
01/10/2018 09.45,1180.26,,,1180.26
01/10/2018 10.00,1197.02,,,1197.02
01/10/2018 10.15,1200.42,,,1200.42
01/10/2018 10.30,1197.67,,,1197.67
01/10/2018 10.45,1187.73,,,1187.73
01/10/2018 11.00,1194.89,,,1194.89
01/10/2018 11.15,1218.47,,,1218.47
01/10/2018 11.30,1225.13,,,1225.13
01/10/2018 11.45,1201.94,,,1201.94
01/10/2018 12.00,1239.63,,,1239.63
01/10/2018 12.15,1255.05,,,1255.05
01/10/2018 12.30,1208.46,,,1208.46
01/10/2018 12.45,1181.07,,,1181.07
01/10/2018 13.00,1239.86,,,1239.86
01/10/2018 13.15,1252.19,,,1252.19
01/10/2018 13.30,1285.95,,,1285.95
01/10/2018 13.45,1279.84,,,1279.84
01/10/2018 14.00,1317.35,,,1317.35
01/10/2018 14.15,1314.03,,,1314.03
01/10/2018 14.30,1305.27,,,1305.27
01/10/2018 14.45,1305.26,,,1305.26
01/10/2018 15.00,1293.55,,,1293.55
01/10/2018 15.15,1293.06,,,1293.06
01/10/2018 15.30,1251.36,,,1251.36
01/10/2018 15.45,1229.81,,,1229.81
01/10/2018 16.00,1205.12,,,1205.12
01/10/2018 16.15,1156.76,,,1156.76
01/10/2018 16.30,1114.74,,,1114.74
01/10/2018 16.45,1040.05,,,1040.05
01/10/2018 17.00,991.19,,,991.19
01/10/2018 17.15,948.13,,,948.13
01/10/2018 17.30,913.43,,,913.43
01/10/2018 17.45,895.09,,,895.09
01/10/2018 18.00,876.22,,,876.22
01/10/2018 18.15,879.98,,,879.98
01/10/2018 18.30,838.58,,,838.58
01/10/2018 18.45,823.17,,,823.17
01/10/2018 19.00,800.84,,,800.84
01/10/2018 19.15,762.82,,,762.82
01/10/2018 19.30,746.44,,,746.44
01/10/2018 19.45,722.03,,,722.03
01/10/2018 20.00,689.41,,,689.41
01/10/2018 20.15,660.78,,,660.78
01/10/2018 20.30,637.41,,,637.41
01/10/2018 20.45,614.22,,,614.22
01/10/2018 21.00,595.07,,,595.07
01/10/2018 21.15,589.64,,,589.64
01/10/2018 21.30,588.8,,,588.8
01/10/2018 21.45,588.41,,,588.41
01/10/2018 22.00,576.12,,,576.12
01/10/2018 22.15,,570.71,,570.71
01/10/2018 22.30,,571,,571
01/10/2018 22.45,,572.59,,572.59
01/10/2018 23.00,,565.5,,565.5
01/10/2018 23.15,,562.45,,562.45
01/10/2018 23.30,,568.96,,568.96
01/10/2018 23.45,,561.95,,561.95
01/10/2018 24.00,,558.11,,558.11
02/10/2018 00.15,,548.84,,548.84
02/10/2018 00.30,,560.95,,560.95
02/10/2018 00.45,,554.98,,554.98
02/10/2018 01.00,,552.42,,552.42
02/10/2018 01.15,,545.17,,545.17
