,RATE A,RATE B,RATE C,Total
02/07/2018 13.30,1184.26,,,1184.26
02/07/2018 13.45,1183.46,,,1183.46
02/07/2018 14.00,1178.97,,,1178.97
02/07/2018 14.15,1222.23,,,1222.23
02/07/2018 14.30,1190.86,,,1190.86
02/07/2018 14.45,1152.41,,,1152.41
02/07/2018 15.00,1132.56,,,1132.56
02/07/2018 15.15,1136.04,,,1136.04
02/07/2018 15.30,1167.57,,,1167.57
02/07/2018 15.45,1159.99,,,1159.99
02/07/2018 16.00,1158.41,,,1158.41
02/07/2018 16.15,1141.28,,,1141.28
02/07/2018 16.30,1016.24,,,1016.24
02/07/2018 16.45,940.12,,,940.12
02/07/2018 17.00,901.44,,,901.44
02/07/2018 17.15,868.54,,,868.54
02/07/2018 17.30,850.4,,,850.4
02/07/2018 17.45,824.32,,,824.32
02/07/2018 18.00,788.9,,,788.9
02/07/2018 18.15,765.23,,,765.23
02/07/2018 18.30,743.95,,,743.95
02/07/2018 18.45,725.81,,,725.81
02/07/2018 19.00,715.57,,,715.57
02/07/2018 19.15,713.94,,,713.94
02/07/2018 19.30,681.26,,,681.26
02/07/2018 19.45,662.64,,,662.64
02/07/2018 20.00,620.51,,,620.51
02/07/2018 20.15,604.64,,,604.64
02/07/2018 20.30,592.67,,,592.67
02/07/2018 20.45,576.91,,,576.91
02/07/2018 21.00,568.48,,,568.48
02/07/2018 21.15,561,,,561
02/07/2018 21.30,551.46,,,551.46
02/07/2018 21.45,547.9,,,547.9
02/07/2018 22.00,547.95,,,547.95
02/07/2018 22.15,,518.43,,518.43
02/07/2018 22.30,,604.15,,604.15
02/07/2018 22.45,,565.37,,565.37
02/07/2018 23.00,,555.27,,555.27
02/07/2018 23.15,,552.26,,552.26
02/07/2018 23.30,,547.67,,547.67
02/07/2018 23.45,,545.67,,545.67
02/07/2018 24.00,,543.72,,543.72
03/07/2018 00.15,,538.58,,538.58
03/07/2018 00.30,,535.77,,535.77
03/07/2018 00.45,,533.4,,533.4
03/07/2018 01.00,,530.8,,530.8
03/07/2018 01.15,,530.42,,530.42
03/07/2018 01.30,,529.47,,529.47
03/07/2018 01.45,,524.66,,524.66
03/07/2018 02.00,,517.9,,517.9
03/07/2018 02.15,,518.84,,518.84
03/07/2018 02.30,,507.63,,507.63
03/07/2018 02.45,,505.73,,505.73
03/07/2018 03.00,,505.21,,505.21
03/07/2018 03.15,,502,,502
03/07/2018 03.30,,499.5,,499.5
03/07/2018 03.45,,498.1,,498.1
03/07/2018 04.00,,492.53,,492.53
03/07/2018 04.15,,496.55,,496.55
03/07/2018 04.30,,493.29,,493.29
03/07/2018 04.45,,491.37,,491.37
03/07/2018 05.00,,495.03,,495.03
03/07/2018 05.15,,502.45,,502.45
03/07/2018 05.30,,507.44,,507.44
03/07/2018 05.45,,517.24,,517.24
03/07/2018 06.00,,517.43,,517.43
03/07/2018 06.15,,550.87,,550.87
03/07/2018 06.30,,558.04,,558.04
03/07/2018 06.45,,567.54,,567.54
03/07/2018 07.00,,588.32,,588.32
03/07/2018 07.15,,640.36,,640.36
03/07/2018 07.30,,700.71,,700.71
03/07/2018 07.45,,785.71,,785.71
03/07/2018 08.00,,919.47,,919.47
03/07/2018 08.15,,1016.64,,1016.64
03/07/2018 08.30,,1016.77,,1016.77
03/07/2018 08.45,,1069.01,,1069.01
03/07/2018 09.00,,1113.86,,1113.86
03/07/2018 09.15,1073.85,,,1073.85
03/07/2018 09.30,1054.48,,,1054.48
03/07/2018 09.45,1044.47,,,1044.47
03/07/2018 10.00,1046.69,,,1046.69
03/07/2018 10.15,1054.06,,,1054.06
03/07/2018 10.30,1095.33,,,1095.33
03/07/2018 10.45,1115.7,,,1115.7
03/07/2018 11.00,1107.43,,,1107.43
03/07/2018 11.15,1186.23,,,1186.23
03/07/2018 11.30,1168.81,,,1168.81
03/07/2018 11.45,1165.17,,,1165.17
03/07/2018 12.00,1124.14,,,1124.14
03/07/2018 12.15,1106.28,,,1106.28
03/07/2018 12.30,1092.01,,,1092.01
03/07/2018 12.45,1108.32,,,1108.32
03/07/2018 13.00,1076.62,,,1076.62
03/07/2018 13.15,1118.78,,,1118.78
03/07/2018 13.30,1154.7,,,1154.7
03/07/2018 13.45,1178.44,,,1178.44
03/07/2018 14.00,1141.3,,,1141.3
03/07/2018 14.15,1130.9,,,1130.9
03/07/2018 14.30,1133.14,,,1133.14
03/07/2018 14.45,1118.46,,,1118.46
03/07/2018 15.00,1132.86,,,1132.86
03/07/2018 15.15,1124.56,,,1124.56
03/07/2018 15.30,1126.43,,,1126.43
03/07/2018 15.45,1121.61,,,1121.61
03/07/2018 16.00,1112.28,,,1112.28
03/07/2018 16.15,1077.06,,,1077.06
03/07/2018 16.30,1045.9,,,1045.9
03/07/2018 16.45,967.08,,,967.08
03/07/2018 17.00,917.54,,,917.54
03/07/2018 17.15,888.1,,,888.1
03/07/2018 17.30,886.27,,,886.27
03/07/2018 17.45,860.8,,,860.8
03/07/2018 18.00,835.61,,,835.61
03/07/2018 18.15,803.82,,,803.82
03/07/2018 18.30,785.95,,,785.95
03/07/2018 18.45,781.95,,,781.95
03/07/2018 19.00,760.23,,,760.23
03/07/2018 19.15,722.76,,,722.76
03/07/2018 19.30,701.63,,,701.63
03/07/2018 19.45,671.65,,,671.65
03/07/2018 20.00,647.54,,,647.54
03/07/2018 20.15,602.03,,,602.03
03/07/2018 20.30,593.96,,,593.96
03/07/2018 20.45,569.93,,,569.93
03/07/2018 21.00,564.75,,,564.75
03/07/2018 21.15,557.17,,,557.17
03/07/2018 21.30,560.79,,,560.79
03/07/2018 21.45,553.93,,,553.93
03/07/2018 22.00,555.51,,,555.51
03/07/2018 22.15,,556.35,,556.35
03/07/2018 22.30,,556.84,,556.84
03/07/2018 22.45,,542.38,,542.38
03/07/2018 23.00,,538.9,,538.9
03/07/2018 23.15,,532.59,,532.59
03/07/2018 23.30,,534.98,,534.98
03/07/2018 23.45,,533.21,,533.21
03/07/2018 24.00,,528.16,,528.16
04/07/2018 00.15,,528.29,,528.29
04/07/2018 00.30,,521.98,,521.98
04/07/2018 00.45,,520.1,,520.1
04/07/2018 01.00,,512.47,,512.47
04/07/2018 01.15,,519.08,,519.08
04/07/2018 01.30,,512,,512
04/07/2018 01.45,,510.35,,510.35
04/07/2018 02.00,,509.29,,509.29
04/07/2018 02.15,,508.76,,508.76
04/07/2018 02.30,,507.74,,507.74
04/07/2018 02.45,,496.29,,496.29
04/07/2018 03.00,,498.31,,498.31
04/07/2018 03.15,,498.23,,498.23
04/07/2018 03.30,,496.86,,496.86
04/07/2018 03.45,,493.82,,493.82
04/07/2018 04.00,,488.9,,488.9
04/07/2018 04.15,,485.82,,485.82
04/07/2018 04.30,,484.69,,484.69
04/07/2018 04.45,,481.9,,481.9
04/07/2018 05.00,,481.84,,481.84
04/07/2018 05.15,,488.61,,488.61
04/07/2018 05.30,,497.97,,497.97
04/07/2018 05.45,,505.92,,505.92
04/07/2018 06.00,,508.19,,508.19
04/07/2018 06.15,,515.71,,515.71
04/07/2018 06.30,,537.26,,537.26
04/07/2018 06.45,,551.08,,551.08
04/07/2018 07.00,,604.07,,604.07
04/07/2018 07.15,,647.54,,647.54
04/07/2018 07.30,,705.07,,705.07
04/07/2018 07.45,,797,,797
04/07/2018 08.00,,882.98,,882.98
04/07/2018 08.15,,965.6,,965.6
04/07/2018 08.30,,1039.98,,1039.98
04/07/2018 08.45,,1085.69,,1085.69
04/07/2018 09.00,,1074.92,,1074.92
04/07/2018 09.15,1103.14,,,1103.14
04/07/2018 09.30,1117.12,,,1117.12
04/07/2018 09.45,1096.09,,,1096.09
04/07/2018 10.00,1090.4,,,1090.4
04/07/2018 10.15,1110.28,,,1110.28
04/07/2018 10.30,1092.06,,,1092.06
04/07/2018 10.45,1082.37,,,1082.37
04/07/2018 11.00,1081.09,,,1081.09
04/07/2018 11.15,1090.69,,,1090.69
04/07/2018 11.30,1097.03,,,1097.03
04/07/2018 11.45,1085.08,,,1085.08
04/07/2018 12.00,1079.77,,,1079.77
04/07/2018 12.15,1050.05,,,1050.05
04/07/2018 12.30,1064.43,,,1064.43
04/07/2018 12.45,1064.77,,,1064.77
04/07/2018 13.00,1126.99,,,1126.99
04/07/2018 13.15,1121.09,,,1121.09
04/07/2018 13.30,1156.96,,,1156.96
04/07/2018 13.45,1135.1,,,1135.1
04/07/2018 14.00,1147.48,,,1147.48
04/07/2018 14.15,1133.73,,,1133.73
04/07/2018 14.30,1155.2,,,1155.2
04/07/2018 14.45,1127.67,,,1127.67
04/07/2018 15.00,1141.6,,,1141.6
04/07/2018 15.15,1115.24,,,1115.24
04/07/2018 15.30,1107.8,,,1107.8
04/07/2018 15.45,1098.33,,,1098.33
04/07/2018 16.00,1082.46,,,1082.46
04/07/2018 16.15,1052.22,,,1052.22
04/07/2018 16.30,989.02,,,989.02
04/07/2018 16.45,912.02,,,912.02
04/07/2018 17.00,886.06,,,886.06
04/07/2018 17.15,862.49,,,862.49
04/07/2018 17.30,838.17,,,838.17
04/07/2018 17.45,818,,,818
04/07/2018 18.00,814.14,,,814.14
04/07/2018 18.15,800.05,,,800.05
04/07/2018 18.30,788.74,,,788.74
04/07/2018 18.45,771.1,,,771.1
04/07/2018 19.00,754.84,,,754.84
04/07/2018 19.15,743.98,,,743.98
04/07/2018 19.30,707.83,,,707.83
04/07/2018 19.45,667.13,,,667.13
04/07/2018 20.00,637.31,,,637.31
04/07/2018 20.15,595.06,,,595.06
04/07/2018 20.30,583.53,,,583.53
04/07/2018 20.45,570.98,,,570.98
04/07/2018 21.00,564.4,,,564.4
04/07/2018 21.15,557.06,,,557.06
04/07/2018 21.30,560.46,,,560.46
04/07/2018 21.45,561.67,,,561.67
04/07/2018 22.00,552.92,,,552.92
04/07/2018 22.15,,557.22,,557.22
04/07/2018 22.30,,553.03,,553.03
04/07/2018 22.45,,548.77,,548.77
04/07/2018 23.00,,545.08,,545.08
04/07/2018 23.15,,542.13,,542.13
04/07/2018 23.30,,534.79,,534.79
04/07/2018 23.45,,536.98,,536.98
04/07/2018 24.00,,532.13,,532.13
05/07/2018 00.15,,530.55,,530.55
05/07/2018 00.30,,531.21,,531.21
05/07/2018 00.45,,526.32,,526.32
05/07/2018 01.00,,522.18,,522.18
05/07/2018 01.15,,516.63,,516.63
05/07/2018 01.30,,512.42,,512.42
05/07/2018 01.45,,503.05,,503.05
05/07/2018 02.00,,497.52,,497.52
05/07/2018 02.15,,498.9,,498.9
05/07/2018 02.30,,494.18,,494.18
05/07/2018 02.45,,492.1,,492.1
05/07/2018 03.00,,488.07,,488.07
05/07/2018 03.15,,480.73,,480.73
05/07/2018 03.30,,480.39,,480.39
05/07/2018 03.45,,475.47,,475.47
05/07/2018 04.00,,475.15,,475.15
05/07/2018 04.15,,475.79,,475.79
05/07/2018 04.30,,472.87,,472.87
05/07/2018 04.45,,469.84,,469.84
05/07/2018 05.00,,473.13,,473.13
05/07/2018 05.15,,476.1,,476.1
05/07/2018 05.30,,483.03,,483.03
05/07/2018 05.45,,493.9,,493.9
05/07/2018 06.00,,499.16,,499.16
05/07/2018 06.15,,506.5,,506.5
05/07/2018 06.30,,549.35,,549.35
05/07/2018 06.45,,567.56,,567.56
05/07/2018 07.00,,592.61,,592.61
05/07/2018 07.15,,640.94,,640.94
05/07/2018 07.30,,673.7,,673.7
05/07/2018 07.45,,762.14,,762.14
05/07/2018 08.00,,836.82,,836.82
05/07/2018 08.15,,940.65,,940.65
05/07/2018 08.30,,991.18,,991.18
05/07/2018 08.45,,1033.85,,1033.85
05/07/2018 09.00,,1057.98,,1057.98
05/07/2018 09.15,1064.34,,,1064.34
05/07/2018 09.30,1075.46,,,1075.46
05/07/2018 09.45,1083.2,,,1083.2
05/07/2018 10.00,1081.04,,,1081.04
05/07/2018 10.15,1069.24,,,1069.24
05/07/2018 10.30,1089.22,,,1089.22
05/07/2018 10.45,1099.72,,,1099.72
05/07/2018 11.00,1072.8,,,1072.8
05/07/2018 11.15,1092.53,,,1092.53
05/07/2018 11.30,1050.38,,,1050.38
05/07/2018 11.45,1101.57,,,1101.57
05/07/2018 12.00,1151.25,,,1151.25
05/07/2018 12.15,1137.2,,,1137.2
05/07/2018 12.30,1114.49,,,1114.49
05/07/2018 12.45,1102.72,,,1102.72
05/07/2018 13.00,1090.3,,,1090.3
05/07/2018 13.15,1103.75,,,1103.75
05/07/2018 13.30,1115.86,,,1115.86
05/07/2018 13.45,1154.6,,,1154.6
05/07/2018 14.00,1122.8,,,1122.8
05/07/2018 14.15,1092.27,,,1092.27
05/07/2018 14.30,1129.99,,,1129.99
05/07/2018 14.45,1085.01,,,1085.01
05/07/2018 15.00,1117.17,,,1117.17
05/07/2018 15.15,1120.12,,,1120.12
05/07/2018 15.30,1104.99,,,1104.99
05/07/2018 15.45,1109.85,,,1109.85
05/07/2018 16.00,1071.58,,,1071.58
05/07/2018 16.15,1048.09,,,1048.09
05/07/2018 16.30,1009.87,,,1009.87
05/07/2018 16.45,966.65,,,966.65
05/07/2018 17.00,904.89,,,904.89
05/07/2018 17.15,890.06,,,890.06
05/07/2018 17.30,875.19,,,875.19
05/07/2018 17.45,839.69,,,839.69
05/07/2018 18.00,818.56,,,818.56
05/07/2018 18.15,815.9,,,815.9
05/07/2018 18.30,790.93,,,790.93
05/07/2018 18.45,785.14,,,785.14
05/07/2018 19.00,770.89,,,770.89
05/07/2018 19.15,740.23,,,740.23
05/07/2018 19.30,719.92,,,719.92
05/07/2018 19.45,691.7,,,691.7
05/07/2018 20.00,676.01,,,676.01
05/07/2018 20.15,634.8,,,634.8
05/07/2018 20.30,614.62,,,614.62
05/07/2018 20.45,595.37,,,595.37
05/07/2018 21.00,584.51,,,584.51
05/07/2018 21.15,578.82,,,578.82
05/07/2018 21.30,574.09,,,574.09
05/07/2018 21.45,571.4,,,571.4
05/07/2018 22.00,565.58,,,565.58
05/07/2018 22.15,,562.58,,562.58
05/07/2018 22.30,,567.19,,567.19
05/07/2018 22.45,,560.3,,560.3
05/07/2018 23.00,,555.66,,555.66
05/07/2018 23.15,,552.11,,552.11
05/07/2018 23.30,,551.38,,551.38
05/07/2018 23.45,,547.84,,547.84
05/07/2018 24.00,,547.84,,547.84
06/07/2018 00.15,,536.26,,536.26
06/07/2018 00.30,,533.34,,533.34
06/07/2018 00.45,,528.89,,528.89
06/07/2018 01.00,,520.93,,520.93
06/07/2018 01.15,,512.52,,512.52
06/07/2018 01.30,,504.56,,504.56
06/07/2018 01.45,,505.47,,505.47
06/07/2018 02.00,,508.05,,508.05
06/07/2018 02.15,,506.84,,506.84
06/07/2018 02.30,,497.94,,497.94
06/07/2018 02.45,,491.55,,491.55
06/07/2018 03.00,,489.95,,489.95
06/07/2018 03.15,,490.74,,490.74
06/07/2018 03.30,,486.98,,486.98
06/07/2018 03.45,,482.57,,482.57
06/07/2018 04.00,,482.39,,482.39
06/07/2018 04.15,,486.37,,486.37
06/07/2018 04.30,,478.6,,478.6
06/07/2018 04.45,,477.84,,477.84
06/07/2018 05.00,,483.28,,483.28
06/07/2018 05.15,,487.21,,487.21
06/07/2018 05.30,,494.37,,494.37
06/07/2018 05.45,,503.94,,503.94
06/07/2018 06.00,,505.76,,505.76
06/07/2018 06.15,,505.92,,505.92
06/07/2018 06.30,,514.24,,514.24
06/07/2018 06.45,,540.8,,540.8
06/07/2018 07.00,,629.94,,629.94
06/07/2018 07.15,,672.99,,672.99
06/07/2018 07.30,,706.57,,706.57
06/07/2018 07.45,,778.29,,778.29
06/07/2018 08.00,,875.69,,875.69
06/07/2018 08.15,,957.15,,957.15
06/07/2018 08.30,,1006.98,,1006.98
06/07/2018 08.45,,1034.05,,1034.05
06/07/2018 09.00,,1055.46,,1055.46
06/07/2018 09.15,1042.19,,,1042.19
06/07/2018 09.30,1072.29,,,1072.29
06/07/2018 09.45,1102.35,,,1102.35
06/07/2018 10.00,1087.85,,,1087.85
06/07/2018 10.15,1090.35,,,1090.35
06/07/2018 10.30,1092.03,,,1092.03
06/07/2018 10.45,1082.58,,,1082.58
06/07/2018 11.00,1065.5,,,1065.5
06/07/2018 11.15,1079.96,,,1079.96
06/07/2018 11.30,1091.27,,,1091.27
06/07/2018 11.45,1075.67,,,1075.67
06/07/2018 12.00,1063.45,,,1063.45
06/07/2018 12.15,1067.5,,,1067.5
06/07/2018 12.30,1060.05,,,1060.05
06/07/2018 12.45,1047.27,,,1047.27
06/07/2018 13.00,1040.26,,,1040.26
06/07/2018 13.15,1040.14,,,1040.14
06/07/2018 13.30,1101.04,,,1101.04
06/07/2018 13.45,1089.29,,,1089.29
06/07/2018 14.00,1125.77,,,1125.77
06/07/2018 14.15,1127.35,,,1127.35
06/07/2018 14.30,1118.51,,,1118.51
06/07/2018 14.45,1115.15,,,1115.15
06/07/2018 15.00,1124.72,,,1124.72
06/07/2018 15.15,1102.4,,,1102.4
06/07/2018 15.30,1056.61,,,1056.61
06/07/2018 15.45,1028.53,,,1028.53
06/07/2018 16.00,957.87,,,957.87
06/07/2018 16.15,960.05,,,960.05
06/07/2018 16.30,941.39,,,941.39
06/07/2018 16.45,871.27,,,871.27
06/07/2018 17.00,824.54,,,824.54
06/07/2018 17.15,811.92,,,811.92
06/07/2018 17.30,785.21,,,785.21
06/07/2018 17.45,769.87,,,769.87
06/07/2018 18.00,764.93,,,764.93
06/07/2018 18.15,755.68,,,755.68
06/07/2018 18.30,747.55,,,747.55
06/07/2018 18.45,728.55,,,728.55
06/07/2018 19.00,698.08,,,698.08
06/07/2018 19.15,682.2,,,682.2
06/07/2018 19.30,660.47,,,660.47
06/07/2018 19.45,624.99,,,624.99
06/07/2018 20.00,607.2,,,607.2
06/07/2018 20.15,568.85,,,568.85
06/07/2018 20.30,548.27,,,548.27
06/07/2018 20.45,541.18,,,541.18
06/07/2018 21.00,531.03,,,531.03
06/07/2018 21.15,521.1,,,521.1
06/07/2018 21.30,521.76,,,521.76
06/07/2018 21.45,518.6,,,518.6
06/07/2018 22.00,520.19,,,520.19
06/07/2018 22.15,,511.39,,511.39
06/07/2018 22.30,,515.1,,515.1
06/07/2018 22.45,,518.31,,518.31
06/07/2018 23.00,,513.55,,513.55
06/07/2018 23.15,,503.45,,503.45
