,RATE A,RATE B,RATE C,Total
02/03/2018 13.45,1144.07,,,1144.07
02/03/2018 14.00,1142.38,,,1142.38
02/03/2018 14.15,1110.11,,,1110.11
02/03/2018 14.30,1113.56,,,1113.56
02/03/2018 14.45,1121.46,,,1121.46
02/03/2018 15.00,1109.17,,,1109.17
02/03/2018 15.15,1106.07,,,1106.07
02/03/2018 15.30,1101.54,,,1101.54
02/03/2018 15.45,1095.32,,,1095.32
02/03/2018 16.00,1067.11,,,1067.11
02/03/2018 16.15,1025.56,,,1025.56
02/03/2018 16.30,981.34,,,981.34
02/03/2018 16.45,920.65,,,920.65
02/03/2018 17.00,863.19,,,863.19
02/03/2018 17.15,854.77,,,854.77
02/03/2018 17.30,838.43,,,838.43
02/03/2018 17.45,827.85,,,827.85
02/03/2018 18.00,817.24,,,817.24
02/03/2018 18.15,807.59,,,807.59
02/03/2018 18.30,795.98,,,795.98
02/03/2018 18.45,787.37,,,787.37
02/03/2018 19.00,754.98,,,754.98
02/03/2018 19.15,725.55,,,725.55
02/03/2018 19.30,687.94,,,687.94
02/03/2018 19.45,660.93,,,660.93
02/03/2018 20.00,641.41,,,641.41
02/03/2018 20.15,613.57,,,613.57
02/03/2018 20.30,582.35,,,582.35
02/03/2018 20.45,558.14,,,558.14
02/03/2018 21.00,547.66,,,547.66
02/03/2018 21.15,546.74,,,546.74
02/03/2018 21.30,539.77,,,539.77
02/03/2018 21.45,529.97,,,529.97
02/03/2018 22.00,531.47,,,531.47
02/03/2018 22.15,,533.87,,533.87
02/03/2018 22.30,,532.06,,532.06
02/03/2018 22.45,,525.98,,525.98
02/03/2018 23.00,,529.1,,529.1
02/03/2018 23.15,,527.4,,527.4
02/03/2018 23.30,,526.72,,526.72
02/03/2018 23.45,,523.74,,523.74
02/03/2018 24.00,,512.53,,512.53
03/03/2018 00.15,,,505.6,505.6
03/03/2018 00.30,,,513.87,513.87
03/03/2018 00.45,,,508.95,508.95
03/03/2018 01.00,,,503.76,503.76
03/03/2018 01.15,,,505.87,505.87
03/03/2018 01.30,,,507.81,507.81
03/03/2018 01.45,,,502.08,502.08
03/03/2018 02.00,,,499.84,499.84
03/03/2018 02.15,,,493.79,493.79
03/03/2018 02.30,,,485.92,485.92
03/03/2018 02.45,,,489.52,489.52
03/03/2018 03.00,,,482.15,482.15
03/03/2018 03.15,,,483,483
03/03/2018 03.30,,,482.92,482.92
03/03/2018 03.45,,,480.68,480.68
03/03/2018 04.00,,,480.61,480.61
03/03/2018 04.15,,,482.37,482.37
03/03/2018 04.30,,,476.55,476.55
03/03/2018 04.45,,,474.03,474.03
03/03/2018 05.00,,,472.18,472.18
03/03/2018 05.15,,,477.76,477.76
03/03/2018 05.30,,,481.03,481.03
03/03/2018 05.45,,,479.28,479.28
03/03/2018 06.00,,,480.63,480.63
03/03/2018 06.15,,,499.94,499.94
03/03/2018 06.30,,,503.82,503.82
03/03/2018 06.45,,,514.9,514.9
03/03/2018 07.00,,,504.08,504.08
03/03/2018 07.15,,,527.5,527.5
03/03/2018 07.30,,,560.21,560.21
03/03/2018 07.45,,,562.77,562.77
03/03/2018 08.00,,,578.3,578.3
03/03/2018 08.15,,,603.38,603.38
03/03/2018 08.30,,,633.64,633.64
03/03/2018 08.45,,,638.3,638.3
03/03/2018 09.00,,,657.89,657.89
03/03/2018 09.15,,,665.75,665.75
03/03/2018 09.30,,,674.49,674.49
03/03/2018 09.45,,,677.42,677.42
03/03/2018 10.00,,,662.05,662.05
03/03/2018 10.15,,,685.07,685.07
03/03/2018 10.30,,,690.94,690.94
03/03/2018 10.45,,,660.52,660.52
03/03/2018 11.00,,,671.23,671.23
03/03/2018 11.15,,,670.28,670.28
03/03/2018 11.30,,,682.65,682.65
03/03/2018 11.45,,,720.65,720.65
03/03/2018 12.00,,,678.09,678.09
03/03/2018 12.15,,,684.44,684.44
03/03/2018 12.30,,,669.68,669.68
03/03/2018 12.45,,,616.88,616.88
03/03/2018 13.00,,,678.54,678.54
03/03/2018 13.15,,,624.91,624.91
03/03/2018 13.30,,,634.81,634.81
03/03/2018 13.45,,,648.14,648.14
03/03/2018 14.00,,,605.43,605.43
03/03/2018 14.15,,,618.83,618.83
03/03/2018 14.30,,,625.8,625.8
03/03/2018 14.45,,,611.8,611.8
03/03/2018 15.00,,,614.27,614.27
03/03/2018 15.15,,,604.28,604.28
03/03/2018 15.30,,,606.62,606.62
03/03/2018 15.45,,,600.8,600.8
03/03/2018 16.00,,,606.8,606.8
03/03/2018 16.15,,,628.67,628.67
03/03/2018 16.30,,,627.56,627.56
03/03/2018 16.45,,,616.64,616.64
03/03/2018 17.00,,,609.3,609.3
03/03/2018 17.15,,,594.87,594.87
03/03/2018 17.30,,,572.21,572.21
03/03/2018 17.45,,,550.45,550.45
03/03/2018 18.00,,,542.05,542.05
03/03/2018 18.15,,,545.16,545.16
03/03/2018 18.30,,,554.35,554.35
03/03/2018 18.45,,,564.77,564.77
03/03/2018 19.00,,,554.72,554.72
03/03/2018 19.15,,,552.03,552.03
03/03/2018 19.30,,,543.72,543.72
03/03/2018 19.45,,,533.16,533.16
03/03/2018 20.00,,,535.43,535.43
03/03/2018 20.15,,,537.85,537.85
03/03/2018 20.30,,,527.39,527.39
03/03/2018 20.45,,,516.74,516.74
03/03/2018 21.00,,,514.61,514.61
03/03/2018 21.15,,,512.58,512.58
03/03/2018 21.30,,,515.77,515.77
03/03/2018 21.45,,,520.4,520.4
03/03/2018 22.00,,,521.31,521.31
03/03/2018 22.15,,,524.06,524.06
03/03/2018 22.30,,,524.26,524.26
03/03/2018 22.45,,,519.71,519.71
03/03/2018 23.00,,,521.53,521.53
03/03/2018 23.15,,,517.37,517.37
03/03/2018 23.30,,,515.1,515.1
03/03/2018 23.45,,,510.55,510.55
03/03/2018 24.00,,,517.66,517.66
04/03/2018 00.15,,,515.56,515.56
04/03/2018 00.30,,,510.16,510.16
04/03/2018 00.45,,,511.06,511.06
04/03/2018 01.00,,,507.56,507.56
