,RATE A,RATE B,RATE C,Total
02/01/2018 14.00,338.95,,,338.95
02/01/2018 14.15,348.8,,,348.8
02/01/2018 14.30,349.69,,,349.69
02/01/2018 14.45,360.12,,,360.12
02/01/2018 15.00,378.02,,,378.02
02/01/2018 15.15,377.75,,,377.75
02/01/2018 15.30,386.73,,,386.73
02/01/2018 15.45,387.64,,,387.64
02/01/2018 16.00,396.12,,,396.12
02/01/2018 16.15,399.01,,,399.01
02/01/2018 16.30,401.57,,,401.57
02/01/2018 16.45,407.36,,,407.36
02/01/2018 17.00,418.22,,,418.22
02/01/2018 17.15,422.18,,,422.18
02/01/2018 17.30,425.68,,,425.68
02/01/2018 17.45,433.89,,,433.89
02/01/2018 18.00,442,,,442
02/01/2018 18.15,460.87,,,460.87
02/01/2018 18.30,459.23,,,459.23
02/01/2018 18.45,453.73,,,453.73
02/01/2018 19.00,450.1,,,450.1
02/01/2018 19.15,445.79,,,445.79
02/01/2018 19.30,449,,,449
02/01/2018 19.45,442.33,,,442.33
02/01/2018 20.00,440.2,,,440.2
02/01/2018 20.15,437.68,,,437.68
02/01/2018 20.30,438.33,,,438.33
02/01/2018 20.45,436.07,,,436.07
02/01/2018 21.00,435.73,,,435.73
02/01/2018 21.15,425.34,,,425.34
02/01/2018 21.30,429.92,,,429.92
02/01/2018 21.45,432.7,,,432.7
02/01/2018 22.00,435.17,,,435.17
02/01/2018 22.15,,430.54,,430.54
02/01/2018 22.30,,426.59,,426.59
02/01/2018 22.45,,429.13,,429.13
02/01/2018 23.00,,425.01,,425.01
02/01/2018 23.15,,419.36,,419.36
02/01/2018 23.30,,426.21,,426.21
02/01/2018 23.45,,423.52,,423.52
02/01/2018 24.00,,420.52,,420.52
03/01/2018 00.15,,419.31,,419.31
03/01/2018 00.30,,413.59,,413.59
03/01/2018 00.45,,410.83,,410.83
03/01/2018 01.00,,408.81,,408.81
03/01/2018 01.15,,405.97,,405.97
03/01/2018 01.30,,398.26,,398.26
03/01/2018 01.45,,396.7,,396.7
03/01/2018 02.00,,395.77,,395.77
03/01/2018 02.15,,394.04,,394.04
03/01/2018 02.30,,391.2,,391.2
03/01/2018 02.45,,390.72,,390.72
03/01/2018 03.00,,386.38,,386.38
03/01/2018 03.15,,387.6,,387.6
03/01/2018 03.30,,386.17,,386.17
03/01/2018 03.45,,385.59,,385.59
03/01/2018 04.00,,385.57,,385.57
03/01/2018 04.15,,384.35,,384.35
03/01/2018 04.30,,378.2,,378.2
03/01/2018 04.45,,384.64,,384.64
03/01/2018 05.00,,380.62,,380.62
03/01/2018 05.15,,398.36,,398.36
03/01/2018 05.30,,394.62,,394.62
03/01/2018 05.45,,401.83,,401.83
03/01/2018 06.00,,415.88,,415.88
03/01/2018 06.15,,425.28,,425.28
03/01/2018 06.30,,444.86,,444.86
03/01/2018 06.45,,459.6,,459.6
03/01/2018 07.00,,472.58,,472.58
03/01/2018 07.15,,482.63,,482.63
03/01/2018 07.30,,523.24,,523.24
03/01/2018 07.45,,597.88,,597.88
03/01/2018 08.00,,661.55,,661.55
03/01/2018 08.15,,695.18,,695.18
03/01/2018 08.30,,739.79,,739.79
03/01/2018 08.45,,792.71,,792.71
03/01/2018 09.00,,822.56,,822.56
03/01/2018 09.15,850.99,,,850.99
03/01/2018 09.30,837.01,,,837.01
03/01/2018 09.45,830.58,,,830.58
03/01/2018 10.00,826.87,,,826.87
03/01/2018 10.15,820.54,,,820.54
03/01/2018 10.30,815.03,,,815.03
03/01/2018 10.45,803.67,,,803.67
03/01/2018 11.00,786.16,,,786.16
03/01/2018 11.15,800.66,,,800.66
03/01/2018 11.30,821.27,,,821.27
03/01/2018 11.45,802.88,,,802.88
03/01/2018 12.00,807.01,,,807.01
03/01/2018 12.15,793.98,,,793.98
03/01/2018 12.30,791.27,,,791.27
03/01/2018 12.45,795.32,,,795.32
03/01/2018 13.00,798.95,,,798.95
03/01/2018 13.15,813.82,,,813.82
03/01/2018 13.30,858.45,,,858.45
03/01/2018 13.45,849.48,,,849.48
03/01/2018 14.00,857.8,,,857.8
03/01/2018 14.15,842.28,,,842.28
03/01/2018 14.30,868.91,,,868.91
03/01/2018 14.45,844.09,,,844.09
03/01/2018 15.00,871.32,,,871.32
03/01/2018 15.15,869.85,,,869.85
03/01/2018 15.30,856.07,,,856.07
03/01/2018 15.45,848.48,,,848.48
03/01/2018 16.00,830.3,,,830.3
03/01/2018 16.15,805.14,,,805.14
03/01/2018 16.30,782.69,,,782.69
03/01/2018 16.45,733.68,,,733.68
03/01/2018 17.00,697.92,,,697.92
03/01/2018 17.15,680.57,,,680.57
03/01/2018 17.30,668.7,,,668.7
03/01/2018 17.45,647.94,,,647.94
03/01/2018 18.00,639.17,,,639.17
03/01/2018 18.15,635.07,,,635.07
03/01/2018 18.30,625.2,,,625.2
03/01/2018 18.45,608.25,,,608.25
03/01/2018 19.00,600.82,,,600.82
03/01/2018 19.15,591.2,,,591.2
03/01/2018 19.30,573.72,,,573.72
03/01/2018 19.45,541.11,,,541.11
03/01/2018 20.00,525.24,,,525.24
03/01/2018 20.15,506.5,,,506.5
03/01/2018 20.30,498.9,,,498.9
03/01/2018 20.45,497.55,,,497.55
03/01/2018 21.00,492,,,492
