,RATE A,RATE B,RATE C,Total
02/08/2018 12.45,1059.25,,,1059.25
02/08/2018 13.00,1074.95,,,1074.95
02/08/2018 13.15,1121.62,,,1121.62
02/08/2018 13.30,1112.56,,,1112.56
02/08/2018 13.45,1134.2,,,1134.2
02/08/2018 14.00,1127.57,,,1127.57
02/08/2018 14.15,1136.36,,,1136.36
02/08/2018 14.30,1131.98,,,1131.98
02/08/2018 14.45,1117.15,,,1117.15
02/08/2018 15.00,1132.3,,,1132.3
02/08/2018 15.15,1104.3,,,1104.3
02/08/2018 15.30,1116.86,,,1116.86
02/08/2018 15.45,1093.27,,,1093.27
02/08/2018 16.00,1092.58,,,1092.58
02/08/2018 16.15,1054.09,,,1054.09
02/08/2018 16.30,994.98,,,994.98
02/08/2018 16.45,964.44,,,964.44
02/08/2018 17.00,919.39,,,919.39
02/08/2018 17.15,878.01,,,878.01
02/08/2018 17.30,868.48,,,868.48
02/08/2018 17.45,863.3,,,863.3
02/08/2018 18.00,849.53,,,849.53
02/08/2018 18.15,842.11,,,842.11
02/08/2018 18.30,824.43,,,824.43
02/08/2018 18.45,813.19,,,813.19
02/08/2018 19.00,794.69,,,794.69
02/08/2018 19.15,769.53,,,769.53
02/08/2018 19.30,755.73,,,755.73
02/08/2018 19.45,714.26,,,714.26
02/08/2018 20.00,696.52,,,696.52
02/08/2018 20.15,673.23,,,673.23
02/08/2018 20.30,639.41,,,639.41
02/08/2018 20.45,614.82,,,614.82
02/08/2018 21.00,596.32,,,596.32
02/08/2018 21.15,581.33,,,581.33
02/08/2018 21.30,553.87,,,553.87
02/08/2018 21.45,552.35,,,552.35
02/08/2018 22.00,545.13,,,545.13
02/08/2018 22.15,,545.58,,545.58
02/08/2018 22.30,,546.82,,546.82
02/08/2018 22.45,,543.9,,543.9
02/08/2018 23.00,,538.61,,538.61
02/08/2018 23.15,,531.63,,531.63
02/08/2018 23.30,,529.42,,529.42
02/08/2018 23.45,,530.43,,530.43
02/08/2018 24.00,,519.77,,519.77
03/08/2018 00.15,,517.19,,517.19
03/08/2018 00.30,,515.34,,515.34
03/08/2018 00.45,,509.52,,509.52
03/08/2018 01.00,,504.48,,504.48
03/08/2018 01.15,,498.63,,498.63
03/08/2018 01.30,,492.07,,492.07
03/08/2018 01.45,,487,,487
03/08/2018 02.00,,487.18,,487.18
03/08/2018 02.15,,490.97,,490.97
03/08/2018 02.30,,485.29,,485.29
03/08/2018 02.45,,482.28,,482.28
03/08/2018 03.00,,480.99,,480.99
03/08/2018 03.15,,490.15,,490.15
03/08/2018 03.30,,482.31,,482.31
03/08/2018 03.45,,480.63,,480.63
03/08/2018 04.00,,473.99,,473.99
03/08/2018 04.15,,474.36,,474.36
03/08/2018 04.30,,472.37,,472.37
03/08/2018 04.45,,470.57,,470.57
03/08/2018 05.00,,471.23,,471.23
03/08/2018 05.15,,486.69,,486.69
03/08/2018 05.30,,488.68,,488.68
03/08/2018 05.45,,503.82,,503.82
03/08/2018 06.00,,507.94,,507.94
03/08/2018 06.15,,514.73,,514.73
03/08/2018 06.30,,523.39,,523.39
03/08/2018 06.45,,545,,545
03/08/2018 07.00,,609.14,,609.14
03/08/2018 07.15,,644.59,,644.59
03/08/2018 07.30,,699.63,,699.63
03/08/2018 07.45,,757.87,,757.87
03/08/2018 08.00,,835.67,,835.67
03/08/2018 08.15,,936.54,,936.54
03/08/2018 08.30,,985.86,,985.86
03/08/2018 08.45,,1028.35,,1028.35
03/08/2018 09.00,,1066.96,,1066.96
03/08/2018 09.15,1075.38,,,1075.38
03/08/2018 09.30,1077.35,,,1077.35
03/08/2018 09.45,1037.26,,,1037.26
03/08/2018 10.00,1096.06,,,1096.06
03/08/2018 10.15,1080.67,,,1080.67
03/08/2018 10.30,1095.56,,,1095.56
03/08/2018 10.45,1097.17,,,1097.17
03/08/2018 11.00,1069.77,,,1069.77
03/08/2018 11.15,1088.77,,,1088.77
